type,item_id,name_in_database,path,ja
JournalEntryData,0x010000CA0000073D,Floating_Decision_DastnuristAntiDrugRally_Calm,JournalEntryProperties.Description,対立を激化させるのではなく、更生を柱とする公衆衛生キャンペーンを展開して騒乱に対処することにした。
JournalEntryData,0x010000BD00000A88,Floating_Decision_DastnuristAntiDrugRally_Disperse,JournalEntryProperties.Description,サラベスの公共の秩序を維持するため、警察にダストヌリティ派の集会を解散させるよう命じた。
JournalEntryData,0x010000CA0000072B,Floating_Decision_DastnuristAntiDrugRally_Divide,JournalEntryProperties.Description,過激派の影響を削ぎ、安定を回復させるために、サラベスの穏健な宗教指導者たちを支援することにした。
JournalEntryData,0x010000CA00000734,Floating_Decision_DastnuristAntiDrugRally_RevokePermits,JournalEntryProperties.Description,ダストヌリティ派の指導者たちの許可を取り消し、彼らの影響力を抑えるために資金提供も削減することに決めた。
JournalEntryData,0x010000CA00000DE4,Floating_Decision_DastnuristApproval_Alms,JournalEntryProperties.Description,信仰を共にすることで王国を強くするため、地域からの寄付集めを認めた。
JournalEntryData,0x010000CA00000E0E,Floating_Decision_DastnuristApproval_AntiReform,JournalEntryProperties.Description,伝統主義者たちが最近の改革に反対する運動を組織することを許し、信仰内の忠誠心を強化した。
JournalEntryData,0x010000CA00000DC5,Floating_Decision_DastnuristApproval_Enlistment,JournalEntryProperties.Description,忠誠派の勢いを生かしつつ軍を強化するため、農村での入隊募集を後押しした。
JournalEntryData,0x010000CA00000DA6,Floating_Decision_DastnuristApproval_LoyaltySermons,JournalEntryProperties.Description,共通の信仰を通じて団結を強化するため、王室が後援する説教を承認した。
JournalEntryData,0x010000CA00000E83,Floating_Decision_DastnuristProtestsOne_DefendFreeSpeech,JournalEntryProperties.Description,表現の自由という権利を守り、物議を醸すパンフレットの検閲を拒否した。
JournalEntryData,0x010000CA00000E59,Floating_Decision_DastnuristProtestsOne_DestroyPamphlets,JournalEntryProperties.Description,ダストヌリティ派の教義を侮辱するパンフレットの押収と破壊を命じた。
JournalEntryData,0x010000CA00000F15,Floating_Decision_DastnuristProtestsOne_DoNothing,JournalEntryProperties.Description,イザで起きている宗教的対立に介入しないことにした。
JournalEntryData,0x010000CA00000EAD,Floating_Decision_DastnuristProtestsOne_FinePrintHouse,JournalEntryProperties.Description,報道の自由を損なうことなく緊張を和らげるため、印刷所に罰金を科すよう命じた。
JournalEntryData,0x010000CA00000ED7,Floating_Decision_DastnuristProtestsOne_PoliceDisperse,JournalEntryProperties.Description,秩序を回復し国家権威を示すため、イザでのデモ隊を解散させるよう警察に命令した。
JournalEntryData,0x010000CA00000EF6,Floating_Decision_DastnuristProtestsOne_WruhecsGuardsDeployed,JournalEntryProperties.Description,彼らの規律と決意を信じ、ヴルヘックの守護者たちに介入してイザでの騒乱を鎮圧するよう命じた。
JournalEntryData,0x010000CA00000F4A,Floating_Decision_DastnuristProtestsTwo_BanMarches,JournalEntryProperties.Description,首都の秩序を回復するため、大規模なダストヌリティ派のデモ行進を違法と宣言した。
JournalEntryData,0x010000CA00000FF2,Floating_Decision_DastnuristProtestsTwo_CapitalPolice,JournalEntryProperties.Description,首都警察に命じて、沈黙の行進を解散させ、ポルテ・ドラゾンの秩序を回復させた。
JournalEntryData,0x010000CA00000FC8,Floating_Decision_DastnuristProtestsTwo_Donation,JournalEntryProperties.Description,緊張緩和を望み、ダストヌリティ派の機関への大規模な寄付を承認した。
JournalEntryData,0x010000CA00000F74,Floating_Decision_DastnuristProtestsTwo_GoldenGuardDeployed,JournalEntryProperties.Description,近衛兵に命じて、ダストヌリティ派の沈黙の行進を解散させた。
JournalEntryData,0x010000CA00000F9E,Floating_Decision_DastnuristProtestsTwo_PublicAcknowledgment,JournalEntryProperties.Description,沈黙の行進の参加者に語りかけ、首都の緊張を和らげるため、ダストヌリティ派の長老たちが示した懸念を認めた。
JournalEntryData,0x010000CA000007D1,Floating_Decision_DrugsFloodsPort_BribeDockworkersSmugglers,JournalEntryProperties.Description,モンキズでの麻薬取引を妨害するため、主要な港湾労働者や密輸業者に賄賂を渡した。
JournalEntryData,0x010000CA0000077D,Floating_Decision_DrugsFloodsPort_DeployTorasTroops,JournalEntryProperties.Description,トラス家の部隊に、モンキズで秩序を回復させ、犯罪者から港を守るよう命じた。
JournalEntryData,0x010000CA0000081A,Floating_Decision_DrugsFloodsPort_DontDoAnything,JournalEntryProperties.Description,モンキズ港の現在の状況に介入しないことにした。
JournalEntryData,0x010000CA000007F0,Floating_Decision_DrugsFloodsPort_TemporaryPortRestrictions,JournalEntryProperties.Description,麻薬密輸への対処を外国政府に迫るため、モンキズで一時的な貿易制限を実施した。
JournalEntryData,0x010000CA000007A7,Floating_Decision_DrugsFloodsPort_TightenCoastalGuard,JournalEntryProperties.Description,我が国の海域を守り、麻薬密輸と戦うためにモンキズで海上検査を実施するよう命じた。
JournalEntryData,0x010000CA000014C9,Floating_Decision_ExpeditePlavoOne_HireSpikestonExperts,JournalEntryProperties.Description,プラヴォにある聖域を修復するため、ルンブルクのスパイクストン・ビルダーズの雇用を承認した。
JournalEntryData,0x010000CA0000144D,Floating_Decision_ExpeditePlavoOne_HireTopManagers,JournalEntryProperties.Description,プラヴォ聖域の復元を監督するため、優秀なプロジェクトマネージャーの採用を承認した。
JournalEntryData,0x010000CA000014AA,Floating_Decision_ExpeditePlavoOne_HireUnderhallExperts,JournalEntryProperties.Description,プラヴォにおける聖域の復元を支援するため、ソードランドのアンダーホール建設の雇用を承認した。
JournalEntryData,0x010000CA00001477,Floating_Decision_ExpeditePlavoOne_PromoteLocalSupervisors,JournalEntryProperties.Description,聖域の修復作業の進行速度と品質を向上させるため、現地の監督者たちを昇進させ、彼らの訓練のための資金を割り当てた。
JournalEntryData,0x010000CA00001496,Floating_Decision_ExpeditePlavoOne_WarnManagement,JournalEntryProperties.Description,復元プロジェクトの現在の運営陣をそのまま留めることにしたが、今後の遅延について正式な警告を出した。
JournalEntryData,0x010000CA0000157A,Floating_Decision_ExpeditePlavoTwo_Force18HourShifts,JournalEntryProperties.Description,プラヴォ聖域の修復作業を加速させるため、延長勤務を許可した。
JournalEntryData,0x010000CA0000155B,Floating_Decision_ExpeditePlavoTwo_HireMoreLaborHands,JournalEntryProperties.Description,プラヴォ聖域の修復を加速させるため、できるだけ少ない費用で追加の労働者を雇うことを承認した。
JournalEntryData,0x010000CA0000151D,Floating_Decision_ExpeditePlavoTwo_ImproveWorkerConditions,JournalEntryProperties.Description,聖域の復元を支援するため、プラヴォにいる労働者たちの生活環境改善を承認した。
JournalEntryData,0x010000CA0000153C,Floating_Decision_ExpeditePlavoTwo_IncreasePressure,JournalEntryProperties.Description,プラヴォ聖域の修復作業に対する監視を強化するよう命じたが、プロジェクトの予算は増やさなかった。
JournalEntryData,0x010000CA000014F3,Floating_Decision_ExpeditePlavoTwo_InvestTopEquipmentLogi,JournalEntryProperties.Description,プラヴォ復元プロジェクトに最高品質の道具を備え、物流を効率化するための予算増額を承認した。
JournalEntryData,0x010000CA000015E2,Floating_Decision_ExpediteSallabesOne_BlessWorkers,JournalEntryProperties.Description,サラベスの大聖域に勤務する労働者たちを奮い立たせるため、儀式的な祝福を承認した。
JournalEntryData,0x010000CA0000160C,Floating_Decision_ExpediteSallabesOne_ContinuePressure,JournalEntryProperties.Description,サラベスでの建設を現在の方法のまま続けるよう命じ、期限を守るためにさらなる圧力を加えた。
JournalEntryData,0x010000CA000015C3,Floating_Decision_ExpediteSallabesOne_InitiateValenqirisCollab,JournalEntryProperties.Description,彼らの専門知識と資源を活用して大聖域の拡張を加速させるため、ヴァレンキリスとの協力を承認した。
JournalEntryData,0x010000CA00001599,Floating_Decision_ExpediteSallabesOne_InternationalPrefabricated,JournalEntryProperties.Description,サラベス大聖域の拡張を加速させるため、世界市場からプレハブ型建設部品の購入を承認した。
JournalEntryData,0x010000CA0000162B,Floating_Decision_ExpediteSallabesOne_UseTaurusPrefabs,JournalEntryProperties.Description,サラベスにある大聖域の拡張を迅速に進めるため、タウルス・ホールディングのプレハブ資材の使用を承認した。
JournalEntryData,0x010000CA00001655,Floating_Decision_ExpediteSallabesTwo_ContractLogisticsCompany,JournalEntryProperties.Description,サラベス大聖域の拡張に必要な資材輸送を支援するため、物流会社の雇用を承認した。
JournalEntryData,0x010000CA000016A5,Floating_Decision_ExpediteSallabesTwo_MaintainWarn,JournalEntryProperties.Description,サラベスにおける現在の物流業務を維持することに決め、プロジェクト責任者たちの規律を高めるために警告を出した。
JournalEntryData,0x010000CA00001691,Floating_Decision_ExpediteSallabesTwo_OpenIzaLogisticsRoute,JournalEntryProperties.Description,イザからズパナ川を利用した新たな輸送ルートの開設を承認し、それによってサラベスにおける大聖域の拡大を加速させることにした。
JournalEntryData,0x010000CA00001669,Floating_Decision_ExpediteSallabesTwo_ReorgSiteLogistics,JournalEntryProperties.Description,ボトルネックを解消し進捗を加速させるため、サラベスにある大聖域建設現場での物流再編を承認した。
JournalEntryData,0x010000CA0000167D,Floating_Decision_ExpediteSallabesTwo_UtilizeSeaRoutePriority,JournalEntryProperties.Description,サラベス大聖域の拡張に必要な重要資材を輸送するため、優先的な海路の使用を承認した。
JournalEntryData,0x010000CA000008AD,Floating_Decision_GangWarErupts_ChokeFunding,JournalEntryProperties.Description,ギャングの影響力を弱めるため、ジャレスで犯罪活動に資金を提供する企業への取り締まりを命じた。
JournalEntryData,0x010000CA0000083A,Floating_Decision_GangWarErupts_DeployGoldenGuard,JournalEntryProperties.Description,ジャレスで秩序を回復し、我が国民を脅かす犯罪集団を壊滅させるために近衛兵を派遣した。
JournalEntryData,0x010000CA000008F6,Floating_Decision_GangWarErupts_DontDoAnything,JournalEntryProperties.Description,ジャレスで起きているギャング間の衝突に直接介入しないことにした。
JournalEntryData,0x010000CA0000088E,Floating_Decision_GangWarErupts_MasterPlan,JournalEntryProperties.Description,スキナー・カルテルを排除するためにヴルトゥリオを支援し、脅威が取り除かれた後には彼らの組織も解体することにした。
JournalEntryData,0x010000CA000008D7,Floating_Decision_GangWarErupts_OrderHouseSazon,JournalEntryProperties.Description,サゾン家に、ジャレスで秩序を回復し、ギャングによる暴力問題に対処するよう命じた。
JournalEntryData,0x010000CA00000864,Floating_Decision_GangWarErupts_UnleashSuOmina,JournalEntryProperties.Description,スー・オミナにジャレスの秩序回復と犯罪の脅威排除を許可した。
JournalEntryData,0x010000CA0000103B,Floating_Decision_GolcondistApproval_CeremonialVolunteers,JournalEntryProperties.Description,プラヴォのゴルコンド主義の巡礼者たちに、儀式を伴う入隊を通じて国家への奉仕に志願するよう促した。
JournalEntryData,0x010000CA00001063,Floating_Decision_GolcondistApproval_DiscourageReform,JournalEntryProperties.Description,プラヴォにいるゴルコンド主義の聖職者たちが公的な集まりで改革主義的な言説を用いることを抑えた。
JournalEntryData,0x010000CA0000101C,Floating_Decision_GolcondistApproval_FaithGatherings,JournalEntryProperties.Description,王室との結びつきを強化するためにプラヴォでのゴルコンド主義者たちの集会の継続を支持した。
