type,item_id,name_in_database,path,ja
MultipleChoicePageData,0x0100009A0000BC90,Page_ArrestedPeople,MultipleChoicePageProperties.Title,捕らえられた罪人
MultipleChoicePageData,0x0100009A0000BC90,Page_ArrestedPeople,MultipleChoicePageProperties.Subtitle,以下の罪人はポルテ・ドラゾン城塞に拘留され、あなたの裁断を待っている。誰を処刑すべきか。
MultipleChoicePageData,0x0100005100013B92,Page_DictatorConstitution_Section1,MultipleChoicePageProperties.Title,第1節：大統領の拒否権
MultipleChoicePageData,0x0100005100013B92,Page_DictatorConstitution_Section1,MultipleChoicePageProperties.Subtitle,"第77条および第82条によれば、大統領は法案に文書を添えて議会へ差し戻すことで拒否権を行使できる。両条には拒否権を覆す方法についての定めがない。その結果、大統領はソードランド大議会の特別多数をもってしても覆せない「絶対的」な拒否権を握っている。

大国民議会に特別多数で拒否権を覆す権利を与えることで、拒否権に制限を設けることができる。あるいは、大統領が法案を処理すべき期限を定めずにおくことで抜け道を作り、絶対的な握りつぶしの権限を残すこともできる。"
MultipleChoicePageData,0x0100005100013BA8,Page_DictatorConstitution_Section2,MultipleChoicePageProperties.Title,第2節：憲法改正の手続き
MultipleChoicePageData,0x0100005100013BA8,Page_DictatorConstitution_Section2,MultipleChoicePageProperties.Subtitle,憲法第5条によれば、150名以上の署名を得た改正案は大国民議会に提出することができる。改正には大国民議会における三分の二以上の賛成と、最高裁判所における単純過半数の賛成を要する。その結果、選挙で選ばれた立法府に属さない最高裁判所が議決権を持ち、改正手続きにおいて絶大な力を握っている。
MultipleChoicePageData,0x0100005100013BB7,Page_DictatorConstitution_Section3,MultipleChoicePageProperties.Title,第3節：大統領の弾劾
MultipleChoicePageData,0x0100005100013BB7,Page_DictatorConstitution_Section3,MultipleChoicePageProperties.Subtitle,"第17条によれば、ソードランド大統領は、大逆罪または憲法違反の場合を除き、大統領としての職務の遂行にあたって行った行為について責任を負わない。これらの場合には、最高裁判所が合同法廷において構成員の絶対多数をもって大統領を弾劾することができる。 

したがって弾劾の手続きには最高裁判所のみが関与し、同裁判所は行政府に対して大きな力を持つことになる。"
MultipleChoicePageData,0x0100005100013BDB,Page_DictatorConstitution_Section4,MultipleChoicePageProperties.Title,第4節：閣僚の任命
MultipleChoicePageData,0x0100005100013BDB,Page_DictatorConstitution_Section4,MultipleChoicePageProperties.Subtitle,"憲法によれば、大統領は議会で選出された議員のなかから閣僚会議の閣僚を任命する。

「大統領は閣僚を指名することができ、その任命には大国民議会の信任投票を要する」という一文を加えて信任投票を導入することもできるし、「大国民議会は閣僚の名簿を指名することができ、大統領はそこから任命することができる」として議会の関与をより強めることもできる。"
MultipleChoicePageData,0x0100005100013BF8,Page_DictatorConstitution_Section5,MultipleChoicePageProperties.Title,第5節：議席獲得ライン
