articy_id,conversation_id,entry_id,conversation,actor,field,ja
0x010000B80001207E,356,3,Rizia/CouncilRoyalDecrees,Hugo Toras,en,「陛下。」
0x010000B800012091,356,4,Rizia/CouncilRoyalDecrees,Narrator,en,扉が何の前触れもなく開き、ウーゴが足早に中へ入ってきた。彼の顔には切迫した表情が浮かんでいた。
0x010000B80001209A,356,5,Rizia/CouncilRoyalDecrees,Narrator,en,彼はお辞儀をした。
0x010000B8000120A1,356,6,Rizia/CouncilRoyalDecrees,Hugo Toras,en,「これは単独で下すべき決断ではありません。」
0x010000B800012278,356,10,Rizia/CouncilRoyalDecrees,Hugo Toras,en,「陛下、ご決断を下す前に一度この件について話し合った方がよろしいかと存じます。」
0x010000C800000455,356,26,Rizia/CouncilRoyalDecrees,Narrator,en,扉が開き、ウーゴが以前と変わらない急ぎ足で中に入ってきた。今回の彼の眼差しには単なる心配以上のものがあり、期待が込められていた。
0x010000C800000462,356,30,Rizia/CouncilRoyalDecrees,Narrator,en,扉が開き、今度は以前よりも忍耐力を欠いたウーゴが中に入ってきた。彼の表情は読み取れなかったが、落ち着いて意図的な足取りが多くを物語っていた。
0x010000C800000470,356,34,Rizia/CouncilRoyalDecrees,Narrator,en,扉が開き、ウーゴが中に入ってきた。これはすでに彼にとって日常的な光景となっており、喜ぶことも無視することもできないものだった。
0x010000C800000477,356,35,Rizia/CouncilRoyalDecrees,Narrator,en,私は、彼が議論しに来たのではないことを知っていた。彼がここにいるのは、そうするしかなかったからだ。
0x010000C8000004A5,356,39,Rizia/CouncilRoyalDecrees,Hugo Toras,en,「陛下、この勅令にご署名なさる前に、少しお助言を申し上げたく存じます。」
0x010000C8000004AD,356,40,Rizia/CouncilRoyalDecrees,Hugo Toras,en,「陛下。」
0x010000C8000004B5,356,41,Rizia/CouncilRoyalDecrees,Hugo Toras,en,「陛下。」
0x010000C8000004BC,356,42,Rizia/CouncilRoyalDecrees,Narrator,en,私が予想していた通り、私が勅令に署名する前にウーゴが私の部屋にやって来た。
0x010000C8000004C3,356,43,Rizia/CouncilRoyalDecrees,Hugo Toras,en,「私がなぜここにいるのか、ご存知でしょう。」
0x010000C8000004CB,356,44,Rizia/CouncilRoyalDecrees,Hugo Toras,en,「できるだけ早く参りました。」
0x010000C800001819,356,58,Rizia/CouncilRoyalDecrees,Player_Romus,en,「もしよろしければそうしてくれ。だが、私の決心は固いのだ。」
0x010000C800001820,356,59,Rizia/CouncilRoyalDecrees,Player_Romus,en,「ようこそ、ウーゴ。どうぞ、掛けてくれ。」
0x010000C800001827,356,60,Rizia/CouncilRoyalDecrees,Player_Romus,en,「どうぞ。」
0x010000C800001840,356,61,Rizia/CouncilRoyalDecrees,Player_Romus,en,「それは聞きたくない。」
0x010000C800001849,356,62,Rizia/CouncilRoyalDecrees,Hugo Toras,en,「陛下、お願いです。すぐに終わらせますので。」
0x010000C800001852,356,63,Rizia/CouncilRoyalDecrees,Hugo Toras,en,「ありがとうございます。すぐに終わりますので。」
0x0100009A00011704,426,10,Rizia/Exile,Narrator,en,"船が出発するときの大きなホイッスルの音が、あなたの思考からあなたを引き戻した。

あなたは上の階にある上甲板へ行き、かつて自分の家だった場所がゆっくりと地平線の向こうに消えていく様子を見守った。

あなたは……"
0x0100009A00011709,426,11,Rizia/Exile,Player_Romus,en,…何があっても必ず戻ってくると自分に誓った。
0x0100009A00011714,426,12,Rizia/Exile,Player_Romus,en,新たな始まりが間もなく訪れようとしていた。
0x0100009A00011CC6,426,13,Rizia/Exile,Player_Romus,en,...自分の地位と権力を失ったことを悲しんでいた。
0x0100009A00011CCD,426,14,Rizia/Exile,Player_Romus,en,...過去ではなく自分の未来を見つめることにしたのだ。
0x0100009A00011CD4,426,15,Rizia/Exile,Narrator,en,"船長は上甲板に来て、リジアの旗を降ろし、その代わりにキルートの旗を掲げた。

あなたはキルート領の海域に入っていた。"
0x0100009A00011CD4,426,15,Rizia/Exile,Narrator,Menu Text en,1957|キルート共和国
0x0100009A00011CDA,426,16,Rizia/Exile,Player_Romus,en,それは新たな出発点だった。
0x0100009A00011CE4,426,17,Rizia/Exile,Narrator,en,"あなたはその島に上陸し、多くの使用人が仕える豪壮な屋敷があなたを待っていた。

彼らはあなたの持ち物を荷解きした。あなたはバルコニーに出て外の景色を眺めた。

あなたは思った……"
0x0100009A00011CEA,426,18,Rizia/Exile,Player_Romus,en,……結局のところ、そんなに悪い状況ではないのかもしれないと思った。
0x0100009A00011CF0,426,19,Rizia/Exile,Player_Romus,en,…あなたの心にできた空虚を、何ものも埋めることはできなかった。
0x0100009A00011CF8,426,20,Rizia/Exile,Player_Romus,en,…しばらくはゆっくり休むべきだと思った。
0x0100009A00011D40,426,24,Rizia/Exile,Narrator,en,"船長は上甲板に来て、リジアの旗を降ろし、その代わりにルンブルク王国の旗を掲げた。

あなたはルンブルク領の海域に入っていた。"
0x0100009A00011D40,426,24,Rizia/Exile,Narrator,Menu Text en,1957|ルンブルク王国
0x0100009E0000D93C,426,34,Rizia/Exile,Narrator,en,"あなたがルンブルクに到着したとき、大きな安堵感と後悔の念があなたを襲った。二度とリジアに戻ることが許されるのかどうか、あなたは疑問に思っていた。

ベアトリス女王の慈悲により、あなたはソーンボロにあるリヴィングストン家の七つの宮殿の一つを与えられた。"
0x0100009E0000D93C,426,34,Rizia/Exile,Narrator,Menu Text en,1957|ルンブルク王国
0x0100009E0000D959,426,38,Rizia/Exile,Player_Romus,en,それは新たな出発点だった。
0x0100009E0000D961,426,39,Rizia/Exile,Player_Romus,en,あなたはキルートからリジアで抵抗運動を組織しようと試みた。
0x0100009E0000D969,426,40,Rizia/Exile,Player_Romus,en,それは新たな出発点だった。
0x0100009E0000D970,426,41,Rizia/Exile,Player_Romus,en,あなたはソーンボロからリジアで抵抗運動を組織しようと試みた。
0x0100009E0000D976,426,42,Rizia/Exile,Player_Romus,en,新たな始まりが間もなく訪れようとしていた。
0x0100009E0000D98E,426,48,Rizia/Exile,Narrator,en,"あなたがどれだけ努力しても、そんな遠距離から残っている忠臣たちを集めることはできなかった。

数日後、あなたはリジア革命委員会がリジア君主制の廃止を宣言したという知らせを受け取った。"
0x0100009E0000D9B4,426,61,Rizia/Exile,Narrator,en,"あなたがどれだけ努力しても、そんな遠距離から残っている忠誠派を集めることはできなかった。

数日後、あなたはポルテ・ドラゾンでウーゴが戴冠したという知らせを受け取った。リジアには新しい王が現れたのだ。"
0x0100009E0000D9BB,426,62,Rizia/Exile,Narrator,en,"あなたがどれだけ努力しても、そんな遠距離から残っている忠臣たちを集めることはできなかった。

数日後、あなたはポルテ・ドラゾンでリコが即位したという知らせを受け取った。リジアには新しい王が誕生したのだ。"
0x0100009E0000D9C2,426,63,Rizia/Exile,Narrator,en,"あなたがどれだけ努力しても、そんな遠距離から残っている忠臣たちを集めることはできなかった。

数日後、あなたはポルテ・ドラゾンで行われたルシータの戴冠式の知らせを受け取った。リジアに新しい女王が誕生したのだ。"
0x0100009E0000D9C9,426,64,Rizia/Exile,Narrator,en,"あなたがどれだけ努力しても、そんな遠距離から残っている忠臣たちを集めることはできなかった。

数日後、あなたはポルテ・ドラゾンでタデウスが即位したという知らせを受け取った。リジアには新しい王が誕生したのだ。"
0x0100009E0000D9D0,426,65,Rizia/Exile,Narrator,en,"あなたがどれだけ努力しても、そんな遠距離から残っている忠誠派を集めることはできなかった。

数日後、あなたはポルテ・ドラゾンでアンジェリカの戴冠式が行われたという知らせを受け取った。リジアに新しい女王が誕生したのだ。"
0x0100009E0000D9D7,426,66,Rizia/Exile,Player_Romus,en,あなたはそれを信じることができなかった。
0x0100009E0000D9EA,426,70,Rizia/Exile,Narrator,en,数日後、あなたはリジア革命委員会がリジアの君主制を廃止すると宣言したという知らせを受け取った。
0x0100009E0000DA04,426,83,Rizia/Exile,Narrator,en,"数日後、あなたはポルテ・ドラゾンでリコが戴冠したという知らせを受け取った。 

リジアに新しい王ができた。"
0x0100009E0000DA0A,426,84,Rizia/Exile,Narrator,en,"数日後、あなたはポルテ・ドラゾンでルシータが戴冠式を行ったという知らせを受け取った。 

リジアには新しい女王がいた。"
0x0100009E0000DA10,426,85,Rizia/Exile,Narrator,en,"数日後、あなたはポルテ・ドラゾンでタデウスが戴冠したという知らせを受け取った。 

リジアには新しい王ができた。"
0x0100009E0000DA16,426,86,Rizia/Exile,Narrator,en,数日後、あなたはポルテ・ドラゾンでアンジェリカが戴冠したという知らせを受け取った。リジアに新しい女王が誕生したのだ。
0x0100009E0000DA1C,426,87,Rizia/Exile,Narrator,en,"数日後、あなたはポルテ・ドラゾンでウーゴが戴冠したという知らせを受け取った。 

リジアに新しい王ができた。"
0x0100009E0000DA2E,426,88,Rizia/Exile,Player_Romus,en,あなたはそれを信じることができなかった。
