type,item_id,name_in_database,path,ja
CarouselChoiceOptionData,0x01000067000000EA,Option_Budget_Education_Decrease,CarouselChoiceOptionProperties.Title,減額
CarouselChoiceOptionData,0x01000067000000EA,Option_Budget_Education_Decrease,CarouselChoiceOptionProperties.Description,かつて高く評価されたこの国の公教育制度は、この十年で大きく後退した。新設校の不足、教員一人あたりの生徒数の多さ、教員給与の低さ、さらには一部地域における教室設備の不足が、公教育の格差を著しく広げている。
CarouselChoiceOptionData,0x01000067000000DC,Option_Budget_Education_Increase,CarouselChoiceOptionProperties.Title,増額
CarouselChoiceOptionData,0x01000067000000DC,Option_Budget_Education_Increase,CarouselChoiceOptionProperties.Description,かつて高く評価されたこの国の公教育制度は、この十年で大きく後退した。新設校の不足、教員一人あたりの生徒数の多さ、教員給与の低さ、さらには一部地域における教室設備の不足が、公教育の格差を著しく広げている。
CarouselChoiceOptionData,0x01000067000000E3,Option_Budget_Education_Maintain,CarouselChoiceOptionProperties.Title,据え置き
CarouselChoiceOptionData,0x01000067000000E3,Option_Budget_Education_Maintain,CarouselChoiceOptionProperties.Description,かつて高く評価されたこの国の公教育制度は、この十年で大きく後退した。新設校の不足、教員一人あたりの生徒数の多さ、教員給与の低さ、さらには一部地域における教室設備の不足が、公教育の格差を著しく広げている。
CarouselChoiceOptionData,0x01000067000000A4,Option_Budget_Healthcare_Decrease,CarouselChoiceOptionProperties.Title,減額
CarouselChoiceOptionData,0x01000067000000A4,Option_Budget_Healthcare_Decrease,CarouselChoiceOptionProperties.Description,ソードランドの医療制度と医療の質は、行政の非効率、需要の増大、そして都市部と地方の病院のあいだで広がる質の格差によって停滞している。妊産婦死亡や疫病の流行といった問題を抱え、平均寿命は大きく低下した。
CarouselChoiceOptionData,0x010000670000009C,Option_Budget_Healthcare_Increase,CarouselChoiceOptionProperties.Title,増額
CarouselChoiceOptionData,0x010000670000009C,Option_Budget_Healthcare_Increase,CarouselChoiceOptionProperties.Description,ソードランドの医療制度と医療の質は、行政の非効率、需要の増大、そして都市部と地方の病院のあいだで広がる質の格差によって停滞している。妊産婦死亡や疫病の流行といった問題を抱え、平均寿命は大きく低下した。
CarouselChoiceOptionData,0x01000067000000A0,Option_Budget_Healthcare_Maintain,CarouselChoiceOptionProperties.Title,据え置き
CarouselChoiceOptionData,0x01000067000000A0,Option_Budget_Healthcare_Maintain,CarouselChoiceOptionProperties.Description,ソードランドの医療制度と医療の質は、行政の非効率、需要の増大、そして都市部と地方の病院のあいだで広がる質の格差によって停滞している。妊産婦死亡や疫病の流行といった問題を抱え、平均寿命は大きく低下した。
CarouselChoiceOptionData,0x0100006700000109,Option_Budget_Military_Decrease,CarouselChoiceOptionProperties.Title,減額
CarouselChoiceOptionData,0x0100006700000109,Option_Budget_Military_Decrease,CarouselChoiceOptionProperties.Description,ソードランド軍は、アルフォンソ政権が国防予算を大幅に削減するまで、国内で最も手厚く予算を配分された部門であった。北方でルンブルクが武力を誇示する動きを強め、超大国がこの地域で存在感を増しつつある今、ソードランド軍の抑止力はかつてなく重みを持つ。
CarouselChoiceOptionData,0x01000067000000FB,Option_Budget_Military_Increase,CarouselChoiceOptionProperties.Title,増額
CarouselChoiceOptionData,0x01000067000000FB,Option_Budget_Military_Increase,CarouselChoiceOptionProperties.Description,ソードランド軍は、アルフォンソ政権が国防予算を大幅に削減するまで、国内で最も手厚く予算を配分された部門であった。北方でルンブルクが武力を誇示する動きを強め、超大国がこの地域で存在感を増しつつある今、ソードランド軍の抑止力はかつてなく重みを持つ。
CarouselChoiceOptionData,0x0100006700000102,Option_Budget_Military_Maintain,CarouselChoiceOptionProperties.Title,据え置き
CarouselChoiceOptionData,0x0100006700000102,Option_Budget_Military_Maintain,CarouselChoiceOptionProperties.Description,ソードランド軍は、アルフォンソ政権が国防予算を大幅に削減するまで、国内で最も手厚く予算を配分された部門であった。北方でルンブルクが武力を誇示する動きを強め、超大国がこの地域で存在感を増しつつある今、ソードランド軍の抑止力はかつてなく重みを持つ。
CarouselChoiceOptionData,0x01000067000000CB,Option_Budget_Security_Decrease,CarouselChoiceOptionProperties.Title,減額
CarouselChoiceOptionData,0x01000067000000CB,Option_Budget_Security_Decrease,CarouselChoiceOptionProperties.Description,各青年組織のあいだで近ごろ頂点に達した政治的緊張と、社会の諸階層にかかる経済的圧力が、司法と治安の制度が抱える問題を深めている。警察は増加する犯罪に追いつくための助けを必要としている。同時に、法廷の裁判官たちは膨れ上がる一方の未処理案件を抱え込んでいる。
CarouselChoiceOptionData,0x01000067000000BD,Option_Budget_Security_Increase,CarouselChoiceOptionProperties.Title,増額
CarouselChoiceOptionData,0x01000067000000BD,Option_Budget_Security_Increase,CarouselChoiceOptionProperties.Description,各青年組織のあいだで近ごろ頂点に達した政治的緊張と、社会の諸階層にかかる経済的圧力が、司法と治安の制度が抱える問題を深めている。警察は増加する犯罪に追いつくための助けを必要としている。同時に、法廷の裁判官たちは膨れ上がる一方の未処理案件を抱え込んでいる。
CarouselChoiceOptionData,0x01000067000000C4,Option_Budget_Security_Maintain,CarouselChoiceOptionProperties.Title,据え置き
CarouselChoiceOptionData,0x01000067000000C4,Option_Budget_Security_Maintain,CarouselChoiceOptionProperties.Description,各青年組織のあいだで近ごろ頂点に達した政治的緊張と、社会の諸階層にかかる経済的圧力が、司法と治安の制度が抱える問題を深めている。警察は増加する犯罪に追いつくための助けを必要としている。同時に、法廷の裁判官たちは膨れ上がる一方の未処理案件を抱え込んでいる。
CarouselChoiceOptionData,0x010000C500000664,Option_CampaignPromise_DemocraticReforms,CarouselChoiceOptionProperties.Title,民主的改革
CarouselChoiceOptionData,0x010000C500000670,Option_CampaignPromise_NationalValues,CarouselChoiceOptionProperties.Title,国民的価値観を守る
CarouselChoiceOptionData,0x010000C500000763,Option_CrownPrinceFocus_EnergyProduction,CarouselChoiceOptionProperties.Title,エネルギー生産
CarouselChoiceOptionData,0x010000C50000075D,Option_CrownPrinceFocus_GoldExtractionAndTaxEfficiency,CarouselChoiceOptionProperties.Title,金の採掘と徴税効率
CarouselChoiceOptionData,0x010000C500000750,Option_CrownPrinceFocus_InternalSecurity,CarouselChoiceOptionProperties.Title,国内治安
CarouselChoiceOptionData,0x010000C500000757,Option_CrownPrinceFocus_Military,CarouselChoiceOptionProperties.Title,軍事
CarouselChoiceOptionData,0x010000C500000769,Option_CrownPrinceFocus_PublicOpinion,CarouselChoiceOptionProperties.Title,世論
CarouselChoiceOptionData,0x010000C500000702,Option_DiversityOrNationalism_Diversity,CarouselChoiceOptionProperties.Title,多様性を尊ぶ
CarouselChoiceOptionData,0x010000C5000006F6,Option_DiversityOrNationalism_Nationalist,CarouselChoiceOptionProperties.Title,民族主義を支持する
CarouselChoiceOptionData,0x010000C5000006FC,Option_DiversityOrNationalism_Neutral,CarouselChoiceOptionProperties.Title,中立を保つ
CarouselChoiceOptionData,0x010000C5000006CA,Option_DukeValenqiris,CarouselChoiceOptionProperties.Title,安逸な暮らし
CarouselChoiceOptionData,0x010000C5000006C4,Option_DukeValenqiris_PunishTraitors,CarouselChoiceOptionProperties.Title,裏切り者を罰する
CarouselChoiceOptionData,0x010000C5000006BE,Option_DukeValenqiris_RebuildRegion,CarouselChoiceOptionProperties.Title,自らの地方を再建する
CarouselChoiceOptionData,0x010000C50000068C,Option_Education_Military,CarouselChoiceOptionProperties.Title,軍事
CarouselChoiceOptionData,0x010000C500000692,Option_Education_RoyalCouncil,CarouselChoiceOptionProperties.Title,王室評議会
