type,item_id,name_in_database,path,ja
NewsData,0x010000CA0000080F,Floating_Decision_G_DrugsFloodsPort_TemporaryPortRestrictions,NewsProperties.Title,リジア、貿易制裁で近隣諸国に圧力をかける
NewsData,0x010000CA0000080F,Floating_Decision_G_DrugsFloodsPort_TemporaryPortRestrictions,NewsProperties.Description,"リジア政府は、モンキズの港を通じてラツプサイスやイシヤシャスが大量に流入することへの懸念を理由に、アガードおよびヴェーレンからの輸入品に対する一時的な貿易制限を発表した。この決定は既に地域の貿易ネットワークに波紋を広げており、両国とも突然の関税措置に不満を示している。

専門家らは、アガードとヴェーレンの両国が南メルコパへの商品輸入においてモンキズを重要な入口として依存しているため、この措置がリジアの外交関係に悪影響を及ぼす可能性があると見ている。アガードの貿易担当者らは既に対抗策をほのめかしており、一方ヴェーレンの港湾当局はその非難に根拠がないと主張している。 

この強硬な姿勢が実際に外国政府に圧力を与えるのか、それとも逆効果となってモンキズの経済的地位を損なうだけなのか、その答えは依然として不明である。"
NewsData,0x010000CA00001724,Floating_Decision_G_SallabesGrandsanctuary_UtilizeWehlenTimber,NewsProperties.Title,ヴェーレンとの木材貿易が開始される
NewsData,0x010000CA00001724,Floating_Decision_G_SallabesGrandsanctuary_UtilizeWehlenTimber,NewsProperties.Description,"国境を越えた重要な協定として、リジアはサラベス大聖域の拡張を支援するためにヴェーレンから木材を調達することに成功した。関係者らは物資価格の上昇という状況下での物流面での実用的な判断だと説明している。

しかし、地域の分析家は、歴史的に領土争いや思想の相違で対立してきた両国間の関係が緩和しつつあることを示唆している可能性があると指摘している。

この取引はヴェーレンにわずかな経済的恩恵をもたらす可能性があるが、その長期的な政治的影響については疑問点が残っている。観察家は、単純な貿易でさえも予期しない形で外交の流れを変えうると指摘している。"
NewsData,0x010000CA00000A82,Floating_Decision_G_TraffickingRoutes_CoordinateMorellaBorder,NewsProperties.Title,リジア・モレラ国境安全保障条約
NewsData,0x010000CA00000A82,Floating_Decision_G_TraffickingRoutes_CoordinateMorellaBorder,NewsProperties.Description,"南メルコパにおける注目すべき動きとして、リジアとモレラはアルグノ・モレラ間の国境での警備強化に合意した。この共同取り組みは、特にアルグノの活発な貿易ルートを通じて行われる、脆弱な国境を悪用した密輸活動を阻止することを目的としている。

外交官たちはこの協力関係を高く評価しているが、一部の専門家は犯罪ネットワークが厳しくなった監視に適応しかねないと警鐘を鳴らしている。両国が協力し合う中、地域の観察筋たちは、このパートナーシップが外交的な摩擦を引き起こすことなく実質的な成果をもたらせるかどうかを注視している。"
NewsData,0x010000CA00000DF8,Floating_Decision_RH_DastnuristApproval_Alms,NewsProperties.Title,寛大な王国
NewsData,0x010000CA00000DF8,Floating_Decision_RH_DastnuristApproval_Alms,NewsProperties.Description,"団結を示す感動的な行動として、ダストヌリティ派の共同体たちが国家の再生を支えるために施しを行い始めている。王室の祝福により、この取り組みは精神面だけでなく実質的な面においても王国を強化している。

ブロナズ国内はもとよりその他地域の市民たちも、義務に関する説教の影響を受けて自分たちにできることを寄付している。王室はこの自発的な献身行為を称賛し、信徒および未来の守護者としての役割を再確認している。"
NewsData,0x010000CA00000E22,Floating_Decision_RH_DastnuristApproval_AntiReform,NewsProperties.Title,伝統がその声を発する
NewsData,0x010000CA00000E22,Floating_Decision_RH_DastnuristApproval_AntiReform,NewsProperties.Description,"最近、ダストヌリティ派の長老たちが行った演説により、我々の社会の道徳的基盤が再確認された。ブロナズから遠隔地の村々まで行われた説教の中で、宗教指導者たちは急激な変化が進む時代において伝統を守ることの重要性について熱く語った。

当局は、オープンな対話こそが自由で自信に満ちた王国の特徴であると強調している。王室は、我々の精神的・文化的遺産を強化しようと努めるあらゆる声を歓迎する。"
NewsData,0x010000CA00000DD9,Floating_Decision_RH_DastnuristApproval_Enlistment,NewsProperties.Title,信念が奉仕の心を呼び起こす
NewsData,0x010000CA00000DD9,Floating_Decision_RH_DastnuristApproval_Enlistment,NewsProperties.Description,"国王陛下の農村地域への徴兵策は、最近のダストヌリティ派による忠誠宣言に影響を受けた地域社会から強い支持を得ている。ブロナズ周辺や西リジア全域の村々では、愛国心に燃える若者たちが次々と志願して兵役に就くようになっている。

関係当局によると、聖堂や広場付近に設置された徴兵センターでは、志願者たちを敬意をもって迎え入れている。商業活動と伝統が共存するブロナズでは、王国への奉仕こそが平和と安定への貢献であることが住民に繰り返し呼びかけられている。"
NewsData,0x010000CA00000DBA,Floating_Decision_RH_DastnuristApproval_LoyaltySermons,NewsProperties.Title,信仰と王権の結合
NewsData,0x010000CA00000DBA,Floating_Decision_RH_DastnuristApproval_LoyaltySermons,NewsProperties.Description,"王国全土のダストヌリティ派の長老たちは、驚くべき団結の姿を見せ、王室への忠誠とリジア社会の道徳的基盤を強調する一連の説教を行っている。

国王陛下の宗務局によって承認されたこれらの説教では、秩序や美徳、そして信仰と君主制との間の神聖な絆が重視されている。ブロナズやデイルをはじめとする各地域の市民たちは、忠誠心と敬意に満ちたメッセージを聞くために聖堂に集まっている。

関係者によると、この取り組みによって国民の精神が強化され、不確実な時代を長年にわたり王国を導いてきた価値観が守られるだろうという。"
NewsData,0x010000CA00000E97,Floating_Decision_RH_DastnuristProtestsOne_DefendFreeSpeech,NewsProperties.Title,リジア王国、権利と秩序の維持を宣言
NewsData,0x010000CA00000E97,Floating_Decision_RH_DastnuristProtestsOne_DefendFreeSpeech,NewsProperties.Description,"王室は、現在続く混乱の中でも表現の自由という権利を守ることにより、市民の自由への長年にわたる誓約を再確認した。当局者らは、この王国の強みは恐れることなく対話を促進できる能力にあると強調している。

政府はすべての集団に対し平和的な協力を呼びかけ、この敏感な時期に秩序と相互尊重を維持するための措置が講じられていることを国民に保証している。"
NewsData,0x010000CA00000E6D,Floating_Decision_RH_DastnuristProtestsOne_DestroyPamphlets,NewsProperties.Title,攻撃用物資が撤去された
NewsData,0x010000CA00000E6D,Floating_Decision_RH_DastnuristProtestsOne_DestroyPamphlets,NewsProperties.Description,"国王は公共の平和と道徳的尊厳を守るため、冒涜的な資料の流通停止を命じるという断固とした措置を取った。 

ダストヌリティ派の長老たちの怒りを買ったこれらのパンフレットは、公の場での議論に適さないものと見なされ、当局の監督のもとで破壊された。宗教指導者たちは、この措置が我々の伝統や価値観への敬意の表れだとして高く評価している。 

リジア王国は、あらゆる公共空間において調和と精神的尊厳を維持することに引き続き尽力している。"
NewsData,0x010000CA00000EC1,Floating_Decision_RH_DastnuristProtestsOne_FinePrintHouse,NewsProperties.Title,公正な措置により秩序が維持された
NewsData,0x010000CA00000EC1,Floating_Decision_RH_DastnuristProtestsOne_FinePrintHouse,NewsProperties.Description,"最近の騒動に対し、王室は扇動的なパンフレットを印刷した業者に対して財政的罰則を科すことを決定した。

当局者らは、表現の自由は引き続き保障されるものの、神聖な伝統に対する意図的な挑発には必ず処罰が伴うべきだと述べた。この決定は、平穏を回復させるためのバランスの取れた合法的な措置として多くの人々から歓迎されている。"
NewsData,0x010000CA00000F5E,Floating_Decision_RH_DastnuristProtestsTwo_BanMarches,NewsProperties.Title,首都に秩序回復
NewsData,0x010000CA00000F5E,Floating_Decision_RH_DastnuristProtestsTwo_BanMarches,NewsProperties.Description,"首都の平和維持を望む人々が歓迎する決定として、王室は集団的なダストヌリティ派のデモ行進を正式に禁止した。この措置は、市内の街頭で大勢の群衆を引き連れた先日の「沈黙の行進」を受けて取られたものだ。

当局者は特に高まる宗教的熱狂を踏まえ、調和と公共の秩序を維持する必要性を強調した。この禁止措置により、礼拝の場が瞑想や祈りのために開かれた状態を保ちつつ、日常生活へのさらなる妨害を防ぐことができる。

王室は信仰の自由と公共の平和の両方に対する姿勢を揺るぎなく保ち続けており、勇気と配慮をもってそのバランスを図っている。"
NewsData,0x010000CA00001006,Floating_Decision_RH_DastnuristProtestsTwo_CapitalPolice,NewsProperties.Title,首都に平和が回復
NewsData,0x010000CA00001006,Floating_Decision_RH_DastnuristProtestsTwo_CapitalPolice,NewsProperties.Description,"断固たる決意と適切な対応により、王室は大規模な無許可の宗教的デモの後、ポルテ・ドラゾンに平穏を取り戻した。王立リジア警察が派遣され秩序を回復させ、街は再び通常の生活リズムに戻った。

当局によると、負傷者は報告されておらず、作戦は市民の秩序や公共の安全を十分に尊重して実施された。君主制は、王国の首都が混乱に見舞われることなく調和を維持することに引き続き尽力している。

交通が再開し商売活動も正常化する中、ポルテ・ドラゾンの住民たちは再び平穏に街を歩けるようになった。"
NewsData,0x010000CA00000FDC,Floating_Decision_RH_DastnuristProtestsTwo_Donation,NewsProperties.Title,国王、信仰との絆を強化
NewsData,0x010000CA00000FDC,Floating_Decision_RH_DastnuristProtestsTwo_Donation,NewsProperties.Description,"歴史的な「沈黙の行進」が行われた後、王室は王国全土にあるダストヌリティ派の施設を支援するための大幅な財政的投資を発表した。この措置は、道徳的伝統を守り、精神的生命を保護し続けるという君主制の決意を再確認するものである。

関係者によれば、これらの資金は聖堂の改修や教育活動の拡大、そしてダストヌリティ派コミュニティに関連する慈善プログラムの支援に充てられるという。宗教指導者たちはこの措置に対し深い感謝の意を示している。

信仰と国家が手を携えて進む中、王国は団結した目的のもとで立っている。"
NewsData,0x010000CA00000F88,Floating_Decision_RH_DastnuristProtestsTwo_GoldenGuardDeployed,NewsProperties.Title,近衛兵により首都が防衛される
NewsData,0x010000CA00000F88,Floating_Decision_RH_DastnuristProtestsTwo_GoldenGuardDeployed,NewsProperties.Description,"増大する不安定状況に対応し、国王陛下は近衛兵にポルテ・ドラゾンで発生した最近の沈黙の行進を鎮圧する任務を託された。この作戦は迅速かつ専門的に実施され、大規模な衝突を避けつつ都市の重要機関を確保した。

当局者らは、信仰の自由は引き続き保障されていると強調しているが、首都中心部での大規模な混乱は容認されないと述べている。この展開は、国家統一と公共の安全の両方を維持しようとする王室の決意を示している。"
NewsData,0x010000CA00000FB2,Floating_Decision_RH_DastnuristProtestsTwo_PublicAcknowledgment,NewsProperties.Title,国王、道徳的統一を再確認
NewsData,0x010000CA00000FB2,Floating_Decision_RH_DastnuristProtestsTwo_PublicAcknowledgment,NewsProperties.Description,"首都全土に放送された演説の中で、国王陛下は最近起きた沈黙の行進に対し、王国が共有する道徳的・精神的基盤を再確認することで応えられた。

行進者たちの懸念を認めつつも、王室は統一、安定、相互尊重を統治の指針として強調した。宗教指導者たちはこの演説の姿勢を歓迎し、それを王権と信徒との間の「より深い理解へ向けた一歩」と評した。"
NewsData,0x010000CA00000791,Floating_Decision_RH_DrugsFloodsPort_DeployTorasTroops,NewsProperties.Title,モンキズで秩序回復
NewsData,0x010000CA00000791,Floating_Decision_RH_DrugsFloodsPort_DeployTorasTroops,NewsProperties.Description,"トラス家の部隊が、悪化する麻薬危機に対処し公共の安全を回復させるためにモンキズに派遣された。この決定はロムス・トラス国王の主導によるもので、密輸された有害物質の影響から市街地の住民を守るという強い決意を示している。

関係者によると、これらの部隊は犯罪ネットワークの解体や麻薬密売場の摘発、そして港といった重要インフラの保護に力を入れているという。 

モンキズの地域指導者たちは、王室の迅速な対応に感謝している。彼らは秩序の回復が、都市の経済を守り、安全で繁栄した拠点としての評判を維持する上で不可欠だと考えている。政府はこの作戦を最後まで遂行し切ることに引き続き全力を尽くす方針だ。"
NewsData,0x010000CA00000804,Floating_Decision_RH_DrugsFloodsPort_TemporaryPortRestrictions,NewsProperties.Title,麻薬密輸に対する断固たる姿勢
