type,item_id,name_in_database,path,ja
SituationData,0x010000460001C8E1,Diplomacy_Agnolia_Agriculture_Market_Access,SituationProperties.Title,農産物市場におけるアグノリアの優先権
SituationData,0x010000460001C8E1,Diplomacy_Agnolia_Agriculture_Market_Access,SituationProperties.Description,アグノリアはソードランドにおいて特別な特権を与えられており、優先的に国内で生産されたあらゆる農作物を購入する権利を持っている。さらに、アグノリア人はこれらの購入にかかる関税について割引を受けることができる。
SituationData,0x010000460001C8E5,Diplomacy_Agnolia_CheapSteelPrice,SituationProperties.Title,アグノリアからの安価な鉄鋼輸入
SituationData,0x010000460001C8E5,Diplomacy_Agnolia_CheapSteelPrice,SituationProperties.Description,ソードランドはアグノリアと好条件的な貿易協定を結び、安価に鉄鋼を輸入している。他国と比べて、同量の鉄鋼をアグノリアから輸入する際のコストは半分程度しかかからない。
SituationData,0x010000460001C8E9,Diplomacy_Agnolia_HighSteelPrice,SituationProperties.Title,アグノリアからの高価な鉄鋼輸入
SituationData,0x010000460001C8E9,Diplomacy_Agnolia_HighSteelPrice,SituationProperties.Description,ソードランドは他国と比べて2倍のコストでアグノリアから鉄鋼を輸入している。しかし、この貿易協定によりソードランドは信頼できる供給元から高品質な鉄鋼を手に入れることができ、両国間の継続的な貿易関係を支えている。
SituationData,0x0100006500009781,Diplomacy_AN_ANDORArbitration,SituationProperties.Title,ANDORアウレウス仲裁手続き
SituationData,0x0100006500009781,Diplomacy_AN_ANDORArbitration,SituationProperties.Description,"ANDOR（国際連盟の海洋資源に関する指令）であるアウレウス仲裁手続きが、リジアとパレスの間で争われているアウレウス・ガス田をめぐる紛争を解決するために適用されている。

この手続きは1942年の国際連盟指令に基づくもので、主権と国際法のバランスを取りながら資源を公正に分配し、公平な解決策を導き出すことを目的としている。"
SituationData,0x0100006500009727,Diplomacy_ANSanctions_Heavy,SituationProperties.Title,国際連盟の厳しい制裁
SituationData,0x0100006500009727,Diplomacy_ANSanctions_Heavy,SituationProperties.Description,国際連盟はその国に対して厳しい制裁を科し、同国の世界貿易や外交関係に大きな影響を与えている。論争を招く国際的な問題が原因で取られたこの厳しい措置の影響を緩和し、世界的な地位を回復させるためには、緊急の外交的努力が必要とされている。
SituationData,0x01000065000096FA,Diplomacy_ANSanctions_Weak,SituationProperties.Title,国際連盟の緩やかな制裁
SituationData,0x01000065000096FA,Diplomacy_ANSanctions_Weak,SituationProperties.Description,国際連盟は、その国の国際舞台における行動に対して消極的な反応を示し、緩やかな制裁を実施している。これらの制裁は致命的な被害をもたらすものではないが、さらなる悪影響を避けるために慎重な外交的対処が求められていることを示している。
SituationData,0x0100006500009778,Diplomacy_AN_ThreatMitigationProtocol,SituationProperties.Title,国際連盟の脅威緩和議定書
SituationData,0x0100006500009778,Diplomacy_AN_ThreatMitigationProtocol,SituationProperties.Description,"ヴェーレンはAN脅威緩和プロトコルを用い、1927年のジル協定の延長を正当化しており、その結果、現在の安全保障上の脅威が終息するまでこの地域はヴェゼクの支配下に留まっている。

このプロトコルは極めて緊急な状況向けに用意されたもので、友情の日の爆弾攻撃以降の深刻な状況を反映している。"
SituationData,0x010000460001C861,Diplomacy_ArcasiaAid,SituationProperties.Title,アルカシアの援助
SituationData,0x010000460001C861,Diplomacy_ArcasiaAid,SituationProperties.Description,アルカシアがソードランドに対して提供する多大な援助の一環として、財政的・物流面での支援や装備供与に加え、エルローリー空軍基地での不定期な飛行権や給油の機会も与えられる。この援助はソードランドのインフラ強化と発展促進を目的としている。この合意は、レイン大統領がアルカシアとの関係を強化しようとする戦略を示すものであり、将来的にはアルカシア条約機構内でのより広範な連携へとつながる可能性がある。
SituationData,0x010000460001C8B1,Diplomacy_Arcasia_Military_Influence,SituationProperties.Title,アルカシアの軍事的影響力
SituationData,0x010000460001C8B1,Diplomacy_Arcasia_Military_Influence,SituationProperties.Description,アルカシア条約機構への加盟に伴い、彼らの連絡官たちは我が軍の陸海空軍の司令官らで構成されるソードランド指揮部と密接に協力し、ソードランド軍をアルカシア条約機構の統合された軍事機構に組み入れるための統合プロセスを支援することになっている。
SituationData,0x010000460001C8B5,Diplomacy_Arcasia_Military_Support,SituationProperties.Title,アルカシア条約機構の軍事支援
SituationData,0x010000460001C8B5,Diplomacy_Arcasia_Military_Support,SituationProperties.Description,アルカシア条約機構は条約上の義務に基づき、ソードランド軍に新しい軍事装備を供給し、我が国の軍事物流の統一を支援するとともに、ソードランド軍の全部門に新たな訓練手法を提供している。
SituationData,0x010000460001C8A5,Diplomacy_ArcasianInfluence,SituationProperties.Title,アルカシアの影響力
SituationData,0x010000460001C8A5,Diplomacy_ArcasianInfluence,SituationProperties.Description,この地域の超大国であるアルカシアは、ソードランドを自らの影響下に置いた。この戦略的な動きは、アルカシアの影響力の拡大を示しており、同国がこの地域の政治情勢を形作る能力を有していることを証明している。
SituationData,0x010000460001C8A9,Diplomacy_ArcasiaTradeHalt,SituationProperties.Title,アルカシアによる禁輸
SituationData,0x010000460001C8A9,Diplomacy_ArcasiaTradeHalt,SituationProperties.Description,アルカシアはソードランド産のあらゆる商品に対して禁輸措置を実施した。隣国との貿易に大きく依存しているソードランドの経済に、この動きは甚大な影響を与える可能性が高い。
SituationData,0x010000460001C8BD,Diplomacy_Contana_Military_Support,SituationProperties.Title,コンタナの軍事支援
SituationData,0x010000460001C8BD,Diplomacy_Contana_Military_Support,SituationProperties.Description,CSPへの加盟により定められた要件に従い、彼らの連絡官たちは我が国の陸海空軍の司令官らで構成されるソードランド指揮部と密接に協力し、ソードランド軍を統合されたCSP軍事体制に組み入れるための統合プロセスを支援する。
SituationData,0x010000460001C8C1,Diplomacy_Contana_Missile_Duru_Island,SituationProperties.Title,コンタナのミサイル防衛システム
SituationData,0x010000460001C8C1,Diplomacy_Contana_Missile_Duru_Island,SituationProperties.Description,CSPへの加盟条件として、コンタナ連邦はドゥル島にミサイル防衛システムを建設することを約束した。この戦略的な措置により、潜在的なミサイル攻撃から重要な防御が実現し、我が国の国家安全保障が強化されるだろう。
SituationData,0x010000460001C8B9,Diplomacy_ContananInfluence,SituationProperties.Title,コンタナの影響力
SituationData,0x010000460001C8B9,Diplomacy_ContananInfluence,SituationProperties.Description,この地域の超大国として、コンタナ連邦はソードランドを自らの影響下に置いている。この戦略的な動きは、コンタナ連邦の力と影響力の増大を示し、同国がこの地域の政治情勢を形作る能力を有していることを証明している。
SituationData,0x01000065000096D5,Diplomacy_CulturalProjection_Inconsequential,SituationProperties.Title,乏しい文化的発信力
SituationData,0x01000065000096D5,Diplomacy_CulturalProjection_Inconsequential,SituationProperties.Description,リジアの文化や遺産を広めようとする取り組みは、我が王国の国境を越えてほとんど影響を及ぼしていない。文化的な発信に努力しているにもかかわらず、アリアナ・トラス協会のような取り組みでは海外で大きな足跡を残すことが難しく、より効果的なソフトパワー戦略が求められている状況がうかがえる。
SituationData,0x0100006500009703,Diplomacy_CulturalProjection_Influential,SituationProperties.Title,影響力のある文化的発信力
SituationData,0x0100006500009703,Diplomacy_CulturalProjection_Influential,SituationProperties.Description,アリアナ・トラス協会が主導するリジアの文化的発信は、近隣諸国はもちろんその他の地域にも大きな影響を与えている。リジアの豊かな遺産と価値観は元レゼニド帝国全土で広く受け入れられており、地域外交におけるソフトパワーの有効な活用を示している。
