type,item_id,name_in_database,path,ja
DecisionData,0x010000C60000019E,Floating_Decision_DastnuristAntiDrugRally,DecisionProperties.Title,薬物問題を巡るダストヌリティ派の騒動
DecisionData,0x010000C60000019E,Floating_Decision_DastnuristAntiDrugRally,DecisionProperties.Options[0].Text,警察を派遣し、群衆を解散させよ［権威+1］
DecisionData,0x010000C60000019E,Floating_Decision_DastnuristAntiDrugRally,DecisionProperties.Options[1].Text,穏健な宗教指導者たちを支援し、彼ら同士を分裂させよ［権威-1］
DecisionData,0x010000C60000019E,Floating_Decision_DastnuristAntiDrugRally,DecisionProperties.Options[2].Text,彼らの許可を取り消し、資金提供も削減せよ［予算+1］
DecisionData,0x010000C60000019E,Floating_Decision_DastnuristAntiDrugRally,DecisionProperties.Options[3].Text,彼らを鎮め、公衆衛生キャンペーンを展開せよ［予算-1］
DecisionData,0x010000C60000019E,Floating_Decision_DastnuristAntiDrugRally,DecisionProperties.HubTitle,薬物問題を巡るダストヌリティ派の騒動
DecisionData,0x010000C60000019E,Floating_Decision_DastnuristAntiDrugRally,DecisionProperties.Description,影響力のあるダストヌリティ派の宗教指導者たちは、政府の緩やかな薬物政策を非難し、説教やデモを通じて世論の怒りを煽っている。保守派と世俗派の間の緊張が高まる中、彼らの影響力の拡大は都市の安定を脅かす恐れがある。
DecisionData,0x010000C60000019E,Floating_Decision_DastnuristAntiDrugRally,DecisionProperties.HubDescription,宗教的な抗議活動が薬物に対する緩やかな取り締まりに異議を唱えている。
DecisionData,0x010000BD000001DC,Floating_Decision_DastnuristApproval,DecisionProperties.Title,ダストヌリティ派長老たちの誓い
DecisionData,0x010000BD000001DC,Floating_Decision_DastnuristApproval,DecisionProperties.Options[0].Text,王室が後援する忠誠の説教を認可せよ。［権威+2］
DecisionData,0x010000BD000001DC,Floating_Decision_DastnuristApproval,DecisionProperties.Options[1].Text,農村地域での徴兵キャンペーンを推進せよ［兵員+500］
DecisionData,0x010000BD000001DC,Floating_Decision_DastnuristApproval,DecisionProperties.Options[2].Text,共同体から施しを請う［予算+2］
DecisionData,0x010000BD000001DC,Floating_Decision_DastnuristApproval,DecisionProperties.Options[3].Text,改革に対する反対を促進せよ
DecisionData,0x010000BD000001DC,Floating_Decision_DastnuristApproval,DecisionProperties.HubTitle,ダストヌリティ派長老会
DecisionData,0x010000BD000001DC,Floating_Decision_DastnuristApproval,DecisionProperties.Description,"ダストヌリティ派の長老たちは一連の儀式や公的な宣言を行うためブロナズに集まり、多くの人々が彼らの献身の姿を見守った。長い行列を成して街路を練り歩き、道徳的・宗教的伝統の維持を支持することを示すため古い詩句を唱える。聖堂の階段から、指導者たちは君主制への忠誠を宣言すると同時に、信仰への挑戦に対して屈せずにいるよう信者たちを促した。

街は祈りの声で満ちている。"
DecisionData,0x010000BD000001DC,Floating_Decision_DastnuristApproval,DecisionProperties.HubDescription,ダストヌリティ派の長老たちへの支援を指示する。
DecisionData,0x010000650000E451,Floating_Decision_DastnuristProtestsOne,DecisionProperties.Title,印刷スキャンダル
DecisionData,0x010000650000E451,Floating_Decision_DastnuristProtestsOne,DecisionProperties.Options[0].Text,パンフレットをすべて処分せよ
DecisionData,0x010000650000E451,Floating_Decision_DastnuristProtestsOne,DecisionProperties.Options[1].Text,自由な表現を守れ
DecisionData,0x010000650000E451,Floating_Decision_DastnuristProtestsOne,DecisionProperties.Options[2].Text,印刷所に罰金を科せ［予算+1］
DecisionData,0x010000650000E451,Floating_Decision_DastnuristProtestsOne,DecisionProperties.Options[3].Text,暴徒を解散させるために警察を派遣しろ［権威+1］
DecisionData,0x010000650000E451,Floating_Decision_DastnuristProtestsOne,DecisionProperties.Options[4].Text,ヴルヘックの守護者たちを派遣して解散させよ
DecisionData,0x010000650000E451,Floating_Decision_DastnuristProtestsOne,DecisionProperties.Options[5].Text,何もしない［毎ターン 権威-1］
DecisionData,0x010000650000E451,Floating_Decision_DastnuristProtestsOne,DecisionProperties.HubTitle,印刷スキャンダル
DecisionData,0x010000650000E451,Floating_Decision_DastnuristProtestsOne,DecisionProperties.Description,物議を醸す印刷所が、ダストヌリティ派の厳格な教義を批判するパンフレットを発行し、聖職者たちの間で怒りが広がっている。抗議活動は拡大しており、その施設の閉鎖と冒涜的な資料の押収を求める声が上がっている。
DecisionData,0x010000650000E451,Floating_Decision_DastnuristProtestsOne,DecisionProperties.HubDescription,パンフレットに対する怒りの声に応える。
DecisionData,0x010000BD0000018C,Floating_Decision_DastnuristProtestsTwo,DecisionProperties.Title,沈黙の行進
DecisionData,0x010000BD0000018C,Floating_Decision_DastnuristProtestsTwo,DecisionProperties.Options[0].Text,今後のダストヌリティ派の行進を一切禁止せよ［権威+2］
