type,item_id,name_in_database,path,ja
CodexEntryData,0x0100004600017341,Characters_Assembly_AlbinClavin,CodexEntryProperties.Title,アルビン・クラヴィン
CodexEntryData,0x0100004600017341,Characters_Assembly_AlbinClavin,CodexEntryProperties.Keywords[0],アルビン・クラヴィン
CodexEntryData,0x0100004600017341,Characters_Assembly_AlbinClavin,CodexEntryProperties.Keywords[1],クラヴィン
CodexEntryData,0x0100004600017341,Characters_Assembly_AlbinClavin,CodexEntryProperties.Description,"アルビン・クラヴィンはブルディア人の政治家で、1949年からソードランドの大国民議会議員を務めている。彼はUSPの党員であり、同党の進歩派のリーダーと見なされている。 

アルビンはアルフォンソ政権下で積極的な論客でありエヴァルト・アルフォンソ及びその政策の強力な支持者として最近注目を集めており、アルフォンソによる自由市場改革の成立に大きく貢献した。彼は大国民議会で行った物議を醸す演説で名を馳せ、メディアによってUSPの「新しい世代」の象徴として扱われた。

不況の後、彼は新たな大統領候補を選出するための会議開催を求める動きに加わり、エヴァルト・アルフォンソへの支持を放棄した。アルビンが次期候補として自ら名乗りを上げたものの会議でほとんど支持を得られず、結果的にアントン・レインが候補となった。彼はレインの当選を機に憲法改正を呼びかけている。"
CodexEntryData,0x0100004600017345,Characters_Assembly_AlbinClavin_VP,CodexEntryProperties.Title,アルビン・クラヴィン
CodexEntryData,0x0100004600017345,Characters_Assembly_AlbinClavin_VP,CodexEntryProperties.Keywords[0],アルビン・クラヴィン
CodexEntryData,0x0100004600017345,Characters_Assembly_AlbinClavin_VP,CodexEntryProperties.Keywords[1],クラヴィン
CodexEntryData,0x0100004600017345,Characters_Assembly_AlbinClavin_VP,CodexEntryProperties.Description,"アルビン・クラヴィンはソードランドの副大統領を現在務めているソードランド人の政治家で、USPの党員であり同党の進歩派のリーダーと見なされている。 

アルビンはアルフォンソ政権下で積極的な論客でありエヴァルト・アルフォンソ及びその政策の強力な支持者として最近注目を集めており、アルフォンソによる自由市場改革の成立に大きく貢献した。彼は大国民議会で行った物議を醸す演説で名を馳せ、メディアによってUSPの「新しい世代」の象徴として扱われた。

不況の後、彼は新たな大統領候補を選出するための会議開催を求める動きに加わり、エヴァルト・アルフォンソへの支持を放棄した。アルビンが次期候補として自ら名乗りを上げたものの会議でほとんど支持を得られず、その結果アントン・レインが候補となった。

1956年にレイン大統領はアルビン・クラヴィンを副大統領に任命した。"
CodexEntryData,0x0100004600017445,Characters_Assembly_BernardCircas,CodexEntryProperties.Title,ベルナルド・シルカス
CodexEntryData,0x0100004600017445,Characters_Assembly_BernardCircas,CodexEntryProperties.Keywords[0],ベルナルド・シルカス
CodexEntryData,0x0100004600017445,Characters_Assembly_BernardCircas,CodexEntryProperties.Keywords[1],シルカス
CodexEntryData,0x0100004600017445,Characters_Assembly_BernardCircas,CodexEntryProperties.Keywords[2],シルカス
CodexEntryData,0x0100004600017445,Characters_Assembly_BernardCircas,CodexEntryProperties.Description,"ベナード・シルカスはソードランドの詩人であり小説家、短編作家、共産主義政治家でもある。彼は抒情的な文体で高く評価され、ソードランドの前衛運動のリーダーと見なされていた。

彼の初期の著作は故郷であるデイルの社会的・文化的・経済的問題に大きく影響を受けていた。その作品たちのおかげで彼は「ロマンチックな共産主義者」と評されるようになった。

彼はソードランド内戦中に赤旗青年団に加入し、戦争終結後にソードランドを逃れ、タルキン・ソルの粛清を生き延びた。その後コンタナ連邦へ移り、キョウ共産大学で社会学を学んだ。そこでは未来主義を提唱するコンタナ人詩人たちの芸術的実験や、マレニエフの思想的ビジョンの影響を受けた。

彼の文学作品はソードランド文学における重要な足跡として広く認められ、数多くの国際的賞を受賞している。彼はヘルマン・エクアに続き1948年にこの権威あるヴルピッツァー賞を受賞したソードランド出身者として二人目であったが、彼の政治的見解のため1930年以降その作品はソードランドで禁止されている。

1950年、タルキン・ソルが去った後ベルナルドはソードランドに戻り、恩赦法の制定を怠るソードランド政府に対するストライキを組織し、ソードランド政界で人気的人物となり始めた。彼は1953年の総選挙に無所属で出馬し、ソードランドの大国民議会に選出された初の共産主義者となった。"
CodexEntryData,0x0100004600017449,Characters_Assembly_BernardCircas_Dead,CodexEntryProperties.Title,ベルナルド・シルカス
CodexEntryData,0x0100004600017449,Characters_Assembly_BernardCircas_Dead,CodexEntryProperties.Keywords[0],ベルナルド・シルカス
CodexEntryData,0x0100004600017449,Characters_Assembly_BernardCircas_Dead,CodexEntryProperties.Keywords[1],シルカス
CodexEntryData,0x0100004600017449,Characters_Assembly_BernardCircas_Dead,CodexEntryProperties.Keywords[2],シルカス
CodexEntryData,0x0100004600017449,Characters_Assembly_BernardCircas_Dead,CodexEntryProperties.Description,"ベナード・シルカスはソードランドの詩人であり小説家、短編作家、共産主義政治家でもあった。彼の叙情的な文体は高く評価され、ソードランドの前衛芸術のリーダーと見なされていた。アントン・レインの就任パーティーでソード青年団のメンバーによって殺害された。

彼の初期の著作は故郷であるデイルの社会的・文化的・経済的問題に大きく影響を受けていた。その作品たちのおかげで彼は「ロマンチックな共産主義者」と評されるようになった。

彼はソードランド内戦中に赤旗青年団に加入し、戦争終結後にソードランドを逃れ、タルキン・ソルの粛清を生き延びた。その後コンタナ連邦へ移り、キョウ共産大学で社会学を学んだ。そこでは未来主義を提唱するコンタナ人詩人たちの芸術的実験や、マレニエフの思想的ビジョンの影響を受けた。

彼の文学作品はソードランド文学における重要な足跡として広く認められ、数多くの国際的賞を受賞している。彼はヘルマン・エクアに続き1948年にこの権威あるヴルピッツァー賞を受賞したソードランド出身者として二人目であったが、彼の政治的見解のため1930年以降その作品はソードランドで禁止されている。

1950年、タルキン・ソルが去った後ベルナルドはソードランドに戻り、恩赦法の制定を怠るソードランド政府に対するストライキを組織し、ソードランド政界で人気的人物となり始めた。彼は1953年の総選挙に無所属で出馬し、ソードランドの大国民議会に選出された初の共産主義者となった。

彼はアントン・レインの就任式パーティーを出ている最中にソード青年団のメンバーによって撃たれた。"
CodexEntryData,0x010000460001732D,Characters_Assembly_GloriaTory,CodexEntryProperties.Title,グロリア・トーリー
CodexEntryData,0x010000460001732D,Characters_Assembly_GloriaTory,CodexEntryProperties.Keywords[0],グロリア・トーリー
CodexEntryData,0x010000460001732D,Characters_Assembly_GloriaTory,CodexEntryProperties.Keywords[1],トーリー
CodexEntryData,0x010000460001732D,Characters_Assembly_GloriaTory,CodexEntryProperties.Keywords[2],トーリー
CodexEntryData,0x010000460001732D,Characters_Assembly_GloriaTory,CodexEntryProperties.Description,"グロリア・トーリーはソードランド人の政治家であり議会議員でもあって、1949年から現在までソードランドの大国民議会の議長を務めている。彼女は1937年から議会の議員である。

ホルソード国立大学を卒業した後、グロリアは学生団体である共和主義青年の会長に選出された。彼女は民主主義革命家たちを支援し、ソードランド君主制の最終期にいくつかの大規模な学生集会を組織した功績で知られている。

彼女が議会に選出される前はロビー業務を行う会社やスピーチ・ディベートの学校などで働いており、1929年にはヴェソード出身として統一ソードランド党の全国委員会のメンバーとなった。

1937年に大国民議会の議員に選出された後、グロリアはUSP内で急速に出世し、1938年には内務大臣の特別顧問に任命され、その後1942年には内務省の党首側報道官、1944年には教育省の報道官を務めるようになった。1949年にはエヴァルト・アルフォンソ大統領の改革案に抗議して大国民議会の議長に選出され、彼女はソードランドで初めてその職に就いた女性となった。

彼女はエヴァルト・アルフォンソの大統領職を強く批判し、彼の政策の議会通過を妨害することで有名になった。カリスマ的な政治家であり厳格な交渉者と見なされており、過去10年間に政治情勢を変えたUSP内の数々のロビー活動の中心人物とされている。1953年の選挙後、彼女は2度目に議長に選出された。"
CodexEntryData,0x0100004600017331,Characters_Assembly_GloriaTory_Justice,CodexEntryProperties.Title,グロリア・トーリー
CodexEntryData,0x0100004600017331,Characters_Assembly_GloriaTory_Justice,CodexEntryProperties.Keywords[0],グロリア・トーリー
CodexEntryData,0x0100004600017331,Characters_Assembly_GloriaTory_Justice,CodexEntryProperties.Keywords[1],トーリー
CodexEntryData,0x0100004600017331,Characters_Assembly_GloriaTory_Justice,CodexEntryProperties.Keywords[2],トーリー
CodexEntryData,0x0100004600017331,Characters_Assembly_GloriaTory_Justice,CodexEntryProperties.Description,"グロリア・トーリーはソードランドの政治家で法学者であり、現在ソードランド最高裁判所の判事を務めている。彼女は以前、ソードランド大国民議会の議長および同議会の議員を歴任した。

ホルソード国立大学を卒業した後、グロリアは学生団体である共和主義青年の会長に選出された。彼女は民主主義革命家たちを支援し、ソードランド君主制の最終期にいくつかの大規模な学生集会を組織した功績で知られている。

彼女が議会に選出される前はロビー業務を行う会社やスピーチ・ディベートの学校などで働いており、1929年にはヴェソード出身として統一ソードランド党の全国委員会のメンバーとなった。

1937年に大国民議会の議員に選出された後、グロリアはUSP内で急速に出世し、1938年には内務大臣の特別顧問に任命され、その後1942年には内務省の党首側報道官、1944年には教育省の報道官を務めるようになった。1949年にはエヴァルト・アルフォンソ大統領の改革案に抗議して大国民議会の議長に選出され、彼女はソードランドで初めてその職に就いた女性となった。

彼女はエヴァルト・アルフォンソの大統領職を強く批判し、彼の政策の議会通過を妨害することで有名になった。カリスマ的な政治家であり厳格な交渉者と見なされており、過去10年間に政治情勢を変えたUSP内の数々のロビー活動の中心人物とされている。1953年の選挙後、彼女は2度目に議長に選出された。

1956年にレイン大統領はグロリア・トーリーを最高裁判所の判事に任命した。"
CodexEntryData,0x0100004600017335,Characters_Assembly_GloriaTory_VP,CodexEntryProperties.Title,グロリア・トーリー
CodexEntryData,0x0100004600017335,Characters_Assembly_GloriaTory_VP,CodexEntryProperties.Keywords[0],グロリア・トーリー
CodexEntryData,0x0100004600017335,Characters_Assembly_GloriaTory_VP,CodexEntryProperties.Keywords[1],トーリー
CodexEntryData,0x0100004600017335,Characters_Assembly_GloriaTory_VP,CodexEntryProperties.Keywords[2],トーリー
CodexEntryData,0x0100004600017335,Characters_Assembly_GloriaTory_VP,CodexEntryProperties.Description,"グロリア・トーリーはソードランドの副大統領を現在務めているソードランド人の政治家で、その職に就いた初の女性である。彼女は以前、ソードランドの大国民議会の議長や同議会の議員を務めていた。

ホルソード国立大学を卒業した後、グロリアは学生団体である共和主義青年の会長に選出された。彼女は民主主義革命家たちを支援し、ソードランド君主制の最終期にいくつかの大規模な学生集会を組織した功績で知られている。

彼女が議会に選出される前はロビー業務を行う会社やスピーチ・ディベートの学校などで働いており、1929年にはヴェソード出身として統一ソードランド党の全国委員会のメンバーとなった。

1937年に大国民議会の議員に選出された後、グロリアはUSP内で急速に出世し、1938年には内務大臣の特別顧問に任命され、その後1942年には内務省の党首側報道官、1944年には教育省の報道官を務めるようになった。1949年にはエヴァルト・アルフォンソ大統領の改革案に抗議して大国民議会の議長に選出され、彼女はソードランドで初めてその職に就いた女性となった。

彼女はエヴァルト・アルフォンソの大統領職を強く批判し、彼の政策の議会通過を妨害することで有名になった。カリスマ的な政治家であり厳格な交渉者と見なされており、過去10年間に政治情勢を変えたUSP内の数々のロビー活動の中心人物とされている。1953年の選挙後、彼女は2度目に議長に選出された。

1956年にレイン大統領はグロリア・トーリーを副大統領に任命した。"
CodexEntryData,0x0100004600017389,Characters_Assembly_KatarinaHorten,CodexEntryProperties.Title,カタリナ・ホルテン
CodexEntryData,0x0100004600017389,Characters_Assembly_KatarinaHorten,CodexEntryProperties.Keywords[0],カタリナ・ホルテン
CodexEntryData,0x0100004600017389,Characters_Assembly_KatarinaHorten,CodexEntryProperties.Keywords[1],ホルテン
CodexEntryData,0x0100004600017389,Characters_Assembly_KatarinaHorten,CodexEntryProperties.Keywords[2],ホルテン
