type,item_id,name_in_database,path,ja
PagedDecisionPanelData,0x0100005D000004B0,PagedDecisionPanel_PromisesPanel,PagedDecisionPanelProperties.Title,選挙公約
PagedDecisionPanelData,0x0100005D000004B0,PagedDecisionPanel_PromisesPanel,PagedDecisionPanelProperties.Description,アントン・レインとして、あなたは1953年の選挙戦で票を得るため、ソードランドの国民に重い約束を交わした。これらの公約は慎重に検討すること。
PagedDecisionPanelData,0x0100006700000089,Panel_Budget,PagedDecisionPanelProperties.Title,任期予算
PagedDecisionPanelData,0x0100006700000089,Panel_Budget,PagedDecisionPanelProperties.Description,以下の4部門に予算を配分できます。増額すればその部門は改善され、新たな政策の選択肢が開かれることもあります。据え置けば目立った変化は生じず、減額すれば効率が損なわれる恐れがあります。
PagedDecisionPanelData,0x0100006700000089,Panel_Budget,PagedDecisionPanelProperties.PanelCounterText,最終予算
PagedDecisionPanelData,0x0100005100013B82,Panel_DictatorConstitution,PagedDecisionPanelProperties.Title,憲法改正
PagedDecisionPanelData,0x0100006700000003,Panel_EmergencyDecree,PagedDecisionPanelProperties.Title,緊急大統領令
PagedDecisionPanelData,0x0100009A0000BC89,Panel_Executions,PagedDecisionPanelProperties.Title,処刑
PagedDecisionPanelData,0x0100009A0000BC89,Panel_Executions,PagedDecisionPanelProperties.Description,捕らえられたこれらの囚人は、王室と国王に対する重大な罪を犯した。刑に服させ続けるか、ギロチンにかけるか、その処遇を決めねばならない。
PagedDecisionPanelData,0x0100008E00002C96,Panel_Focus,PagedDecisionPanelProperties.Title,戦略重点の選択
PagedDecisionPanelData,0x0100008E00002C96,Panel_Focus,PagedDecisionPanelProperties.Description,ロムス・トラス王として、あなたは黄金王国の針路を定め、形づくる広範な権限を持つ。重点の選び方によって、得られる戦略上の利点は変わります。
PagedDecisionPanelData,0x0100006700000176,Panel_Nationalization,PagedDecisionPanelProperties.Title,国有化
PagedDecisionPanelData,0x0100006700000176,Panel_Nationalization,PagedDecisionPanelProperties.Description,以下の企業は、四大企業のうち民間が保有する2社である。いずれもソードランド経済において重要な役割を担っている。株式の一部、過半数、または全部を国家へ移すことで国有化できます。
PagedDecisionPanelData,0x01000052000278D1,Panel_Nationalization_Concessions_SeizeLespiaShare,PagedDecisionPanelProperties.Title,メフティエム国際貿易区におけるレスピアの持ち分をリジアが買い取る提案
PagedDecisionPanelData,0x01000052000278D1,Panel_Nationalization_Concessions_SeizeLespiaShare,PagedDecisionPanelProperties.Description,以下の譲歩と引き換えに、リジアは国有化されたメフティエム国際貿易区において本来レスピアに提供されるはずの持ち分を引き受け、その保有比率を合計40パーセントとする。
PagedDecisionPanelData,0x01000052000278CD,Panel_Nationalization_Demands_NoShare,PagedDecisionPanelProperties.Title,メフティエム国際貿易区におけるリジア資産の接収に関する提案
PagedDecisionPanelData,0x01000052000278CD,Panel_Nationalization_Demands_NoShare,PagedDecisionPanelProperties.Description,リジアは、通常の補償に加えて以下の条件と引き換えに、メフティエム国際貿易区における現有資産をモレラへ移転することに同意する。
PagedDecisionPanelData,0x01000052000278E6,Panel_Nationalization_Demands_Share,PagedDecisionPanelProperties.Title,メフティエム国際貿易区におけるリジア資産の接収に関する提案
PagedDecisionPanelData,0x01000052000278E6,Panel_Nationalization_Demands_Share,PagedDecisionPanelProperties.Description,リジアは、再編後のMITZにおける20パーセントの持ち分に加えて以下の条件と引き換えに、メフティエム国際貿易区における現有資産をモレラへ移転することに同意する。
PagedDecisionPanelData,0x010000670000011D,Panel_Privatization,PagedDecisionPanelProperties.Title,民営化
PagedDecisionPanelData,0x010000670000011D,Panel_Privatization,PagedDecisionPanelProperties.Description,以下の企業は、四大企業のうち国が保有する2社である。いずれもいくつかの戦略産業において重要な役割を担っている。株式の一部、過半数、または全部を民間へ売却することで民営化できます。
PagedDecisionPanelData,0x0100005100013A17,Panel_ReformistConstitution,PagedDecisionPanelProperties.Title,憲法改正
PagedDecisionPanelData,0x01000052000278D5,Panel_Renegotiation_Concessions_BuyLespia,PagedDecisionPanelProperties.Title,メフティエム国際貿易区におけるレスピアの持ち分をリジアが買い取る提案
PagedDecisionPanelData,0x01000052000278D5,Panel_Renegotiation_Concessions_BuyLespia,PagedDecisionPanelProperties.Description,モレラは、以下の譲歩と引き換えに、メフティエム国際貿易区におけるレスピアの持ち分のリジアへの売却を承認する。
PagedDecisionPanelData,0x01000052000278D9,Panel_Renegotiation_Concessions_NoLespia,PagedDecisionPanelProperties.Title,メフティエム国際貿易区におけるレスピアの持ち分をモレラが買い取る提案
PagedDecisionPanelData,0x01000052000278D9,Panel_Renegotiation_Concessions_NoLespia,PagedDecisionPanelProperties.Description,国際貿易区協定の再交渉の一環として、モレラはリジアからの以下の譲歩と引き換えにレスピアの持ち分を引き受ける。
PagedDecisionPanelData,0x01000052000278DD,Panel_Renegotiation_Concessions_SameShares,PagedDecisionPanelProperties.Title,国際貿易区協定の再交渉案
PagedDecisionPanelData,0x01000052000278DD,Panel_Renegotiation_Concessions_SameShares,PagedDecisionPanelProperties.Description,メフティエム国際貿易区協定の再交渉の一環として、リジアは現在の25パーセントの持ち分を維持し、以下を約する。
PagedDecisionPanelData,0x01000052000278C9,Panel_Renegotiation_Demands_CedeRiziaShare,PagedDecisionPanelProperties.Title,メフティエム国際貿易区の再交渉案
PagedDecisionPanelData,0x01000052000278C9,Panel_Renegotiation_Demands_CedeRiziaShare,PagedDecisionPanelProperties.Description,メフティエム国際貿易区に関する新協定の一環として、リジアは現在の持ち分の一部をモレラへ移転することに同意する。その見返りとして、リジアはモレラに以下を約するよう求める。
PagedDecisionPanelData,0x0100006A0001C6AB,Panel_Rizia_PrologueSkip,PagedDecisionPanelProperties.Title,プロローグの選択
PagedDecisionPanelData,0x0100006A0001C722,Panel_Sordland_PrologueSkip,PagedDecisionPanelProperties.Title,プロローグの選択
PagedDecisionPanelData,0x0100006500004B3C,Panel_WehlenNegotiationPromises,PagedDecisionPanelProperties.Title,1927年ジル協定の改定
PagedDecisionPanelData,0x0100006500004B3C,Panel_WehlenNegotiationPromises,PagedDecisionPanelProperties.Description,ヴェーレンとリジア両国の経済的・文化的・政治的な結びつきを強めるため、ジル協定の再交渉が進められている。ヴェーレンは、新たな包括的二国間協定において一定の新条件を満たすことを望んでいる。
PagedDecisionPanelData,0x0100006500004B3C,Panel_WehlenNegotiationPromises,PagedDecisionPanelProperties.PanelBarText,交渉力
