type,item_id,name_in_database,path,ja
CollectionItemData,0x0100007300000037,CollectionItem_AnricaTrophy,CollectionItemProperties.Title,FCアンリカのトロフィー
CollectionItemData,0x0100007300000037,CollectionItem_AnricaTrophy,CollectionItemProperties.GroupName,投資
CollectionItemData,0x0100007300000037,CollectionItem_AnricaTrophy,CollectionItemProperties.Description,気概とスポーツマンシップの勝利を思い起こさせる一品。名高いFCアンリカの紋章が刻まれたこの輝くトロフィーは、あなたがクラブに投じた出資の証である。競技場の歓声がこの象徴のなかに生き続け、ソードランドの運動精神と仲間意識の核心を写し取っている。
CollectionItemData,0x0100007300000044,CollectionItem_ArmadineRadio,CollectionItemProperties.Title,アルマディン製ラジオ
CollectionItemData,0x0100007300000044,CollectionItem_ArmadineRadio,CollectionItemProperties.Description,アルカシアのヴェントリー市、その活気ある工房で作られたこの洗練されたラジオは、単なる機械ではなく世界とのつながりである。地球の各地の周波数に合わせられるそれは、あなたの抜け目ない投資の証であり、放送技術の粋を示す灯でもある。
CollectionItemData,0x0100007300000068,CollectionItem_AschrafCandle,CollectionItemProperties.Title,アシュラフの蝋燭
CollectionItemData,0x0100007300000068,CollectionItem_AschrafCandle,CollectionItemProperties.Description,ブルディア人共同体のアシュラフ記念日に灯されたこの厳かな蝋燭は、多様のなかの結束の物語を静かに語りかける。揺らぐ炎の一つひとつが、民の強さと、その歴史と苦闘を映し、不屈と希望の像を描き出す。
CollectionItemData,0x0100005300000493,CollectionItem_BullFigurine,CollectionItemProperties.Title,雄牛の像
CollectionItemData,0x0100005300000493,CollectionItem_BullFigurine,CollectionItemProperties.Description,リザ女王の治世にさかのぼる、輝く黄金の小像。台座に施された繊細な花の彫刻はリジアの豊かな大地を象徴し、その上をトラス家の不屈の雄牛が見守っている。
CollectionItemData,0x010000730000001F,CollectionItem_CarKey,CollectionItemProperties.Title,車の鍵
CollectionItemData,0x010000730000001F,CollectionItem_CarKey,CollectionItemProperties.Description,それは単なる鍵ではなく、速さと力と贅の象徴である。冷たい金属にはスポーツカーを駆る昂ぶりが宿り、レスピアの名門自動車メーカー、ランドルフィーニの格式を体現している。
CollectionItemData,0x0100007300000062,CollectionItem_CeremonialScissors,CollectionItemProperties.Title,式典用の鋏
