en,ja,category,tier
Adarfo Sotelato,アダルフォ・ソテラート,人名,tier1
Adria,アドリア,姓,tier1
Agnland,アグンランド,ソードランドの地名,tier1
Agno-Sordish,アグノ・ソードランド人,国民・形容,tier1
Agnoc,アグノク,姓,tier1
Agnolia,アグノリア,国名（略称）,tier1
Agnolian,アグノリア人,国民・形容,tier1
Albin Clavin,アルビン・クラヴィン,人名,tier1
Alfred Kcirbuk,アルフレッド・クリブーク,人名,tier1
Alliance of Nations,国際連盟,リジアの組織,tier1
Alma Saltana,アルマ・サルタナ,人名,tier1
Alphonso,アルフォンソ,姓,tier1
Alphonso Foundation,アルフォンソ財団,ソードランドの組織,tier1
Alphonsonomics,アルフォンソノミクス,思想・宗教,tier1
Alvarez,アルバレス,姓,tier1
Angelica Sazon,アンジェリカ・サゾン,人名,tier1
Anrakan,アンラカン,国名（略称）,tier1
Anrica,アンリカ,ソードランドの地名,tier1
Antel,アンテル,ソードランドの地名,tier1
Antel Rock Prison,アンテル・ロック刑務所,ソードランドの地名,tier1
Anti-Corruption Police,汚職捜査局,ソードランドの組織,tier1
Anti-Planetary Society,反惑星協会,リジアの組織,tier1
Anton Rayne,アントン・レイン,人名,tier1
Anton Rayne (R),アントン・レイン,人名,tier1
Arcasia,アルカシア,国名（略称）,tier1
Arcasian,アルカシア人,国民・形容,tier1
Arcasian Capitalism,アルカシア型資本主義,思想・宗教,tier1
Arcasian Treaty Organization,アルカシア条約機構,国際機関・企業,tier1
Archpriest,大司祭,役職・肩書,tier1
Archsanctuary of Benievon,ベニエヴォン聖域,リジアの地名,tier1
Archsanctuary of Dastnurity,ダストヌリティ聖域,ソードランドの地名,tier1
Archsanctuary of Plavo,プラヴォ聖域,リジアの地名,tier1
Argno,アルグノ,リジアの地名,tier1
Ariana Toras,アリアナ・トラス,人名,tier1
Ariana Toras Association,アリアナ・トラス協会,リジアの組織,tier1
Arnold Dalton,アーノルド・ダルトン,人名,tier1
Artor S. Wisci,アルトル・S・ウィスキ,人名,tier1
Arvory,アルヴォリー,ソードランドの地名,tier1
Aureus Offshore Gas Field,アウレウス沖ガス田,リジアの地名,tier1
Autonomous Zone of Bergia,ベルギア自治区,ソードランドの組織,tier1
Aven,アヴェン,姓,tier1
Axel Reinhart,アクセル・ラインハルト,人名,tier1
Azaro,アザロ,姓,tier1
Azmal,アズマル,姓,tier1
Baronies of Soradis,ソラディス男爵領,国名（正式）,tier1
Basilisk of Baal,バールのバジリスク,ソードランドの地名,tier1
Beatrice Livingston,ベアトリス・リヴィングストン,人名,tier1
Beatrice Livingston (R),ベアトリス・リヴィングストン,人名,tier1
Benfi,ベンフィ,ソードランドの地名,tier1
Benievon,ベニエヴォン,リジアの地名,tier1
Beniwoll,ベニウォル,姓,tier1
Bergia,ベルギア,ソードランドの地名,tier1
Bergia Steel,ベルギア製鉄,ソードランドの組織,tier1
Bernard Circas,ベルナルド・シルカス,人名,tier1
Bludia,ブルディア,国名（略称）,tier1
Bludish,ブルディア人,国民・形容,tier1
Bludish Freedom Front,ブルディア自由戦線,ソードランドの組織,tier1
Bludish Freedom Party,ブルディア自由党,ソードランドの組織,tier1
Borin,ボリン,ソードランドの地名,tier1
Brenas Province,ブレナス州,リジアの地名,tier1
Bronaz,ブロナズ,リジアの地名,tier1
Bruno,ブルーノ,人名,tier1
Camp Strongarm,ストロングアーム基地,ソードランドの地名,tier1
Cardesse-Montaklar Province,カルデス＝モンタクラル州,リジアの地名,tier1
Carlos Robles Azaro,カルロス・ロブレス・アザロ,人名,tier1
