key,scene,ja
Profile Name,"sordland, rizia",プロフィール名
Continue with Google,"sordland, rizia",Google で続ける
Tickets,"sordland, rizia",チケット
Enter game name...,"sordland, rizia",セーブ名を入力...
Select,"sordland, rizia",選択
Settings,"sordland, rizia",設定
Zoom Out,"sordland, rizia",ズームアウト
Cancel,"sordland, rizia",キャンセル
Language (Q),"sordland, rizia",言語 (Q)
password,"sordland, rizia",パスワード
Watch Ads,"sordland, rizia",広告を見る
CHOOSE A POLITICAL AFFILIATION,"sordland, rizia",政治的立場を選ぶ
Torpor Account Login,"sordland, rizia",Torpor アカウントにログイン
Bundles,"sordland, rizia",セット
SSAO,"sordland, rizia",SSAO
AFFILIATION:,"sordland, rizia",立場：
<size=19>(Press)</size> Hyperlinks,"sordland, rizia",<size=19>(押す)</size> リンク
Torpor Account,"sordland, rizia",Torpor アカウント
"Use Story Points to start or continue playing a story. 

Earn more by watching ads, leveling up, and completing in-game actions.","sordland, rizia","ストーリーポイントを使って、物語を始めたり続けたりできます。

広告の視聴、レベルアップ、ゲーム内の行動の達成で増やせます。"
Country,"sordland, rizia",国
MAIN MENU,"sordland, rizia",メインメニュー
Gift Codes,"sordland, rizia",ギフトコード
Back,"sordland, rizia",戻る
Suzerain Completed,"sordland, rizia",Suzerain クリア済み
Confirm,"sordland, rizia",決定
Delete,"sordland, rizia",削除
Previous Token/Panel,"sordland, rizia",前の駒／パネル
INFLUENCE,"sordland, rizia",影響力
Login,"sordland, rizia",ログイン
"Congratulations. You've unlocked the daily reward for today.


Keep up the good work.","sordland, rizia","おめでとうございます。本日のデイリー報酬を獲得しました。


この調子で続けましょう。"
Story Packs,"sordland, rizia",ストーリーパック
"To receive your gift, enter your code below.","sordland, rizia",ギフトを受け取るには、下にコードを入力してください。
"Data Collection

This game collects gameplay data through Torpor Games' analytics service, A/B testing and service providers. The information gathered will aid us in enhancing game balance for a better game experience. For further information see the Torpor Games Privacy Policy.","sordland, rizia","データの収集

このゲームは、Torpor Games の分析サービス・A/Bテスト・サービス提供者を通じてプレイデータを収集します。収集した情報は、より良いゲーム体験のためにゲームバランスを改善するのに役立てます。詳しくは Torpor Games のプライバシーポリシーをご覧ください。"
OR,"sordland, rizia",または
