type,item_id,name_in_database,path,ja
FactionData,0x0100004600022E4B,Faction_TheOldGuard,FactionProperties.Title,守旧派
FactionData,0x0100004600022E4B,Faction_TheOldGuard,FactionProperties.Description,守旧派は、旧政権に連なるソル主義者たちであり、現状の維持を擁護し保守的な政治を推し進める。彼らが国家機構を裏から操る「影の政府」を築いたのだ、と唱える者もいる。
FactionData,0x0100004600022E53,Faction_TheOligarchs,FactionProperties.Title,財閥
FactionData,0x0100004600022E53,Faction_TheOligarchs,FactionProperties.Description,財閥とは、ソードランドの富の大半を握る一握りの有力者たちを指す。かつての民営化の推進によって、国の内外を問わずその影響力は増し続けている。
FactionData,0x0100004600022E4F,Faction_TheReformists,FactionProperties.Title,改革派
FactionData,0x0100004600022E4F,Faction_TheReformists,FactionProperties.Description,改革派は、民主的改革を求める声のもとに結集した議員たちである。前政権の失政以来、ここ数年で支持を伸ばし続けている。
FactionData,0x0100008E00002AF5,House Azaro,FactionProperties.Title,アザロ家
FactionData,0x0100008E00002AF5,House Azaro,FactionProperties.Description,アザロ家はモンタクラル市とカルデス＝モンタクラル州を治める一族である。リジアの三大貴族家のうち、二番目に大きな力を持つ。家紋は交差した二振りの剣。
FactionData,0x0100008E00002AF1,House Sazon,FactionProperties.Title,サゾン家
FactionData,0x0100008E00002AF1,House Sazon,FactionProperties.Description,サゾン家はブレナス州を治める一族で、家紋はサボテンである。歴史的に、芸術と教育の庇護者として知られてきた。
FactionData,0x0100008E00002AED,House Toras,FactionProperties.Title,トラス家
FactionData,0x0100008E00002AED,House Toras,FactionProperties.Description,トラス家は現在のリジアを統べる一族であり、三大貴族家のうち最も強い力を持つ。王位に加え、モンキズ州とイザ市を支配下に置いている。
