type,item_id,name_in_database,path,ja
ReminderPanelSegmentData,0x01000069000014C6,ReminderSegment_Section10_Citizenship,ReminderPanelSegmentProperties.Title,第10節：市民権と権利
ReminderPanelSegmentData,0x01000069000014C6,ReminderSegment_Section10_Citizenship,ReminderPanelSegmentProperties.SegmentConditions[0].Text,憲法から「ソード」の語を削除し、第7条を次のとおり改める。「すべての者は、言語、人種、皮膚の色、性別、政治的思想、哲学的信条、宗教または障害の別にかかわらず、法の下に平等である。」
ReminderPanelSegmentData,0x010000690000151D,ReminderSegment_Section1_Ban_RedYouth,ReminderPanelSegmentProperties.Title,赤旗青年団の非合法化
ReminderPanelSegmentData,0x010000690000151D,ReminderSegment_Section1_Ban_RedYouth,ReminderPanelSegmentProperties.SegmentConditions[0].Text,赤旗青年団をテロ組織かつ国家安全保障上の脅威と宣言する。国家は、過去および現在の構成員、ならびにこれを支援した者に対して措置を講じる。
ReminderPanelSegmentData,0x0100006900001525,ReminderSegment_Section1_Ban_WPB,ReminderPanelSegmentProperties.Title,ブルディア労働者党の非合法化
ReminderPanelSegmentData,0x0100006900001525,ReminderSegment_Section1_Ban_WPB,ReminderPanelSegmentProperties.SegmentConditions[0].Text,ブルディア労働者党をブルディア自由党の直接の後継組織と宣言し、ブルディア自由戦線を支援したことをもって政治活動を禁じる。その構成員は国家安全保障上の脅威とみなされる。
ReminderPanelSegmentData,0x0100006900001505,ReminderSegment_Section1_Ban_YoungSords,ReminderPanelSegmentProperties.Title,ソード青年団の非合法化
ReminderPanelSegmentData,0x0100006900001505,ReminderSegment_Section1_Ban_YoungSords,ReminderPanelSegmentProperties.SegmentConditions[0].Text,ソード青年団をテロ組織かつ国家安全保障上の脅威と宣言する。国家は、過去および現在の構成員、ならびにこれを支援した者に対して措置を講じる。
ReminderPanelSegmentData,0x0100009A0000384F,ReminderSegment_Section1_Morella_,ReminderPanelSegmentProperties.Title,第1節
ReminderPanelSegmentData,0x0100009A0000384F,ReminderSegment_Section1_Morella_,ReminderPanelSegmentProperties.SegmentConditions[0].Text,未定
