variable,where,conversation_id,entry_id,script,op,ja
BaseGameText.AlphonsoToPlayer,initial,,,,=,大統領
RiziaDLCText.GRACECountries,initial,,,,=,リジア王国、ヴェンドネサム連合
RiziaDLCText.IntermerkopumCountries,initial,,,,=,パレス、デルディア、ヴェーレン、モレラ
RiziaDLCText.KingsSon,initial,,,,=,ロムス2世
RiziaDLCText.LenaTooltip,initial,,,,=,ベアトリス・リヴィングストン女王の妹。あなたの妻。
RiziaDLCText.LucitaTitle,initial,,,,=,軍事保安評議官
RiziaDLCText.LucitaToPlayer,initial,,,,=,陛下
RiziaDLCText.ManusToPlayer,initial,,,,=,陛下
RiziaDLCText.NewPalesHoliday,initial,,,,=,パレス回復記念日
RiziaDLCText.PabelToPlayer,initial,,,,=,陛下
RiziaDLCText.RoyalJet,initial,,,,=,ロイヤル・リジア・ワン
RiziaDLCText.RustyArrestReason,initial,,,,=,国家反逆罪
RiziaDLCText.RustyFate,initial,,,,=,逮捕
RiziaDLCText.SaltanaToPlayer,initial,,,,=,トラスさん
RiziaDLCText.TheocracyName,initial,,,,=,神の王国
RiziaDLCText.VinaLastName,initial,,,,=,トラス
BaseGameText.AlphonsoToPlayer,0x010000520001C179,46,367,userScript,=,アントン
RiziaDLCText.PabelToPlayer,0x010000520001873F,287,300,userScript,=,ロムス
RiziaDLCText.GoldenGuardUpdate,0x01000052000692A8,304,504,userScript,=,ロムス・トラス王の治世下で、近衛兵は師団規模に拡大され、任務も広げられた。
RiziaDLCText.ManusToPlayer,0x010000520002E2B0,320,921,userScript,=,ロムス
RiziaDLCText.SaltanaToPlayer,0x0100005200022284,321,40,userScript,=,陛下
RiziaDLCText.LucitaTitle,0x0100005200068070,330,168,userScript,=,王妃にして軍事保安評議官
RiziaDLCText.GRACECountries,0x010000520005CA51,331,487,userScript,=,リジア・パレス連合王国
RiziaDLCText.GRACECountries,0x010000520005CA56,331,488,userScript,=,リジア・パレス連合王国、ヴェンドネサム連合
RiziaDLCText.LucitaToPlayer,0x0100005200068096,346,564,userScript,=,ロムス
RiziaDLCText.KingsSon,0x010000520005362D,349,328,userScript,=,アルドス
RiziaDLCText.KingsSon,0x0100005200053632,349,329,userScript,=,ヴァレロ2世
RiziaDLCText.KingsSon,0x0100005200053637,349,330,userScript,=,タデウス2世
RiziaDLCText.KingsSon,0x010000520005363C,349,331,userScript,=,ロムス2世
RiziaDLCText.News_RD_IncreasedLevies_PalesWar,0x010000BE00000D6A,357,538,userScript,=,これによる兵員の大幅な増強は、パレス解放の戦いで我々に優位をもたらすに違いない。
RiziaDLCText.WinningFootballTeam,0x010000520005FEE8,376,1038,userScript,=,FCポルテ・ドラゾン
RiziaDLCText.WinningFootballTeam,0x010000520005FEEE,376,1039,userScript,=,レアル・モンタクラル
RiziaDLCText.WinningFootballTeam,0x010000520005FF1F,376,1050,userScript,=,レアル・モンタクラル
RiziaDLCText.WinningFootballTeam,0x010000520005FF3A,376,1060,userScript,=,FCポルテ・ドラゾン
RiziaDLCText.WinningFootballTeam,0x010000BE0000520C,376,1147,userScript,=,引き分けた両チーム
RiziaDLCText.SaltanaToPlayer,0x0100005200072B65,401,36,conditionsString,==,陛下
RiziaDLCText.SaltanaToPlayer,0x0100005200072B65,401,37,conditionsString,==,陛下
RiziaDLCText.RustyFate,0x01000052000655B4,416,705,userScript,=,退任
RiziaDLCText.VinaLastName,0x010000C600000213,417,1602,userScript,=,ラインハルト
RiziaDLCText.VinaLastName,0x010000520007C9E2,417,1611,userScript,=,サゾン
RiziaDLCText.AdarfoPosition,0x01000052000658C0,419,835,userScript,=,1955年末、マヌス・サゾンに代わって代議院議長となった。
RiziaDLCText.AdarfoPosition,0x01000052000658C5,419,836,userScript,=,1955年末、マヌス・サゾンに代わって野党党首となった。
RiziaDLCText.AdarfoPosition,0x01000052000658D5,419,843,userScript,=,1955年末、大規模な騒乱を受けて、党は彼をマヌス・サゾンに代わる代議院議長に選んだ。
RiziaDLCText.AdarfoPosition,0x01000052000658D9,419,844,userScript,=,1955年末、大規模な騒乱を受けて、党は彼をマヌス・サゾンに代わる野党党首に選んだ。
RiziaDLCText.ExiledTogether,0x0100009E0000DC42,426,146,userScript,=,エステラ
RiziaDLCText.ExiledTogether,0x0100009E0000DE01,426,184,userScript,=,エステラ
RiziaDLCText.LenaTooltip,0x010000520005C03D,426,625,userScript,=,あなたの孫娘。
RiziaDLCText.LenaTooltip,0x010000520005C042,426,626,userScript,=,あなたの孫娘。
RiziaDLCText.LenaTooltip,0x010000520005C047,426,627,userScript,=,あなたの孫娘。
RiziaDLCText.LenaTooltip,0x010000520005C04C,426,628,userScript,=,あなたの孫娘。
RiziaDLCText.LenaTooltip,0x010000C800002976,428,331,userScript,=,あなたの孫娘。
RiziaDLCText.LenaTooltip,0x0100005200078929,428,387,userScript,=,あなたの孫娘。
RiziaDLCText.LenaTooltip,0x010000520005C02E,430,505,userScript,=,あなたの孫娘。
RiziaDLCText.LenaTooltip,0x010000520005C033,430,506,userScript,=,あなたの孫娘。
RiziaDLCText.LenaTooltip,0x010000520005C038,430,507,userScript,=,あなたの孫娘。
RiziaDLCText.LenaTooltip,0x0100005200079CD4,430,659,userScript,=,あなたの孫娘。
RiziaDLCText.LenaTooltip,0x0100005200079CF3,430,670,userScript,=,あなたの孫娘。
RiziaDLCText.LenaTooltip,0x0100005200079CF9,430,671,userScript,=,あなたの孫娘。
RiziaDLCText.WarEnemies,0x0100009E0000E32A,431,180,userScript,=,アザロ家
RiziaDLCText.WarEnemies,0x0100009E0000E32F,431,181,userScript,=,アザロ家とトラス家
RiziaDLCText.WarEnemies,0x0100009E0000E334,431,182,userScript,=,アザロ家とサゾン家
RiziaDLCText.WarEnemies,0x0100009E0000E340,431,186,userScript,=,トラス家とサゾン家
RiziaDLCText.WarEnemies,0x0100009E0000E345,431,187,userScript,=,トラス家
RiziaDLCText.WarEnemies,0x0100009E0000E34A,431,188,userScript,=,サゾン家
RiziaDLCText.WarEnemies,0x0100009E0000E34F,431,195,userScript,=,アザロ家・サゾン家・トラス家
RiziaDLCText.WarEnemies,0x0100009E0000E3BA,431,207,userScript,=,アダルフォと革命派
RiziaDLCText.CoupLeader,0x0100009E0000E450,431,217,userScript,=,ウーゴ
RiziaDLCText.CoupLeader,0x0100009E0000E455,431,218,userScript,=,ルシータ
RiziaDLCText.CoupLeader,0x0100009E0000E45A,431,219,userScript,=,タデウス
RiziaDLCText.CoupLeader,0x0100009E0000E45F,431,220,userScript,=,アンジェリカ
RiziaDLCText.WarEnemies,0x0100009E0000E3BF,431,221,userScript,=,革命派
RiziaDLCText.CoupLeader,0x0100009E0000E44B,431,223,userScript,=,リコ
RiziaDLCText.WarAllies,0x010000520007B0FE,431,339,userScript,=,三つの貴族家すべてや
RiziaDLCText.WarAllies,0x010000520007B109,431,343,userScript,=,アザロ家・トラス家や
RiziaDLCText.WarAllies,0x010000520007B10D,431,344,userScript,=,アザロ家・サゾン家や
RiziaDLCText.WarAllies,0x010000520007B11F,431,351,userScript,=,サゾン家や
RiziaDLCText.WarAllies,0x010000520007B12A,431,355,userScript,=,アザロ家や
RiziaDLCText.WarAllies,0x010000520007B135,431,359,userScript,=,トラス家・サゾン家や
