articy_id,conversation_id,entry_id,conversation,actor,field,ja
0x01000000000018C7,1,3,Sordland/Turn01/EnT_EconomicOverview,Narrator,en,シモン・ホル、ガス・マンガー、リリアス・グラーフは、予定されていた経済会議のためにホワイトルームに到着しようとしていた。そこはマルーン宮殿内で、すべての重要な会議が開催される部屋だった。
0x01000000000018E9,1,4,Sordland/Turn01/EnT_EconomicOverview,Symon Holl,en,「私と部下たちは、あらゆる側面を徹底的に分析しました――」
0x01000000000018FA,1,5,Sordland/Turn01/EnT_EconomicOverview,Symon Holl,en,「ああ、そこに置いてください。」
0x0100000000001903,1,6,Sordland/Turn01/EnT_EconomicOverview,Narrator,en,ドアのそばにいた補佐官の一人からうめき声が上がり、彼の話は遮られた。二人とも重いプロジェクターを支えようと必死にもがいているのが見て取れた。
0x010000000000190B,1,7,Sordland/Turn01/EnT_EconomicOverview,Narrator,en,彼はソル大統領の絵画の下を指差した。補佐官たちはテーブルの横にプロジェクターを設置し、壁に白いスクリーンを取り付けた。
0x0100000000001913,1,8,Sordland/Turn01/EnT_EconomicOverview,Player,en,「我が国のGDPや負債の状況はどうなっているのか？」
0x0100000000001913,1,8,Sordland/Turn01/EnT_EconomicOverview,Player,Menu Text en,「我が国のGDPや負債の状況はどうなっているのか？」
0x0100000000001919,1,9,Sordland/Turn01/EnT_EconomicOverview,Player,en,「我が国の失業率とインフレ率はいくつだ？」
0x0100000000001919,1,9,Sordland/Turn01/EnT_EconomicOverview,Player,Menu Text en,「我が国の失業率とインフレ率はいくつだ？」
0x010000000000192A,1,10,Sordland/Turn01/EnT_EconomicOverview,Symon Holl,en,「レイン大統領、経済はご専門ですので、おそらく既に関連データをご存知かと思います。それでも私から現在の経済状況をより詳しく説明させていただきます。」
0x0100000000001939,1,11,Sordland/Turn01/EnT_EconomicOverview,Symon Holl,en,「大統領、少々お時間をいただけますでしょうか。非常に重要なデータを説明しようと思います。」
0x0100000000001C33,1,12,Sordland/Turn01/EnT_EconomicOverview,Player,en,「申し訳ない、どうぞ続けてくれ。」
0x0100000000001C33,1,12,Sordland/Turn01/EnT_EconomicOverview,Player,Menu Text en,「申し訳ない、どうぞ続けてくれ。」
0x0100000000001C43,1,13,Sordland/Turn01/EnT_EconomicOverview,Player_Italic,en,私は黙っていた。突然、部屋の雰囲気がわずかに悪くなった。
0x0100000000001C43,1,13,Sordland/Turn01/EnT_EconomicOverview,Player_Italic,Menu Text en,黙っている
0x0100000000001C69,1,14,Sordland/Turn01/EnT_EconomicOverview,Symon Holl,en,「レイン様、私はとても元気でやる気に満ちております。我が国の大臣たちも同じような気持ちのようです。」
0x0100000000001C84,1,15,Sordland/Turn01/EnT_EconomicOverview,Player,en,「景気後退の現状はどうなっているか？」
0x0100000000001C84,1,15,Sordland/Turn01/EnT_EconomicOverview,Player,Menu Text en,「景気後退の現状はどうなっているか？」
0x0100000000001C9F,1,16,Sordland/Turn01/EnT_EconomicOverview,Symon Holl,en,「現在の我が国のGDPは3100億ソードランド・レンで、国家債務は4270億です。」
0x0100000000001CA6,1,17,Sordland/Turn01/EnT_EconomicOverview,Symon Holl,en,"「過去1年間、経済は約-6％の不況状態にありました。1人当たりのGDPも1951年から現在にかけて、SR15,454からSR10,359まで低下しています。」"
0x0100000000001CAD,1,18,Sordland/Turn01/EnT_EconomicOverview,Symon Holl,en,「失業率は急騰し、現在では驚異の16％に達しており、物価上昇率も10％と比較的高い水準にあります。」
0x0100000000001D9D,1,19,Sordland/Turn01/EnT_EconomicOverview,Narrator,en,シモンは目の前の書類の山を整然と並べ直し、最後にメモをもう一度確認してから咳払いをした。
0x0100000000002102,1,22,Sordland/Turn01/EnT_EconomicOverview,Player,en,「必要な情報はすべて揃っている。では、経済戦略について話そう。」
0x0100000000002102,1,22,Sordland/Turn01/EnT_EconomicOverview,Player,Menu Text en,「必要な情報はすべて揃っている。では、経済戦略について話そう。」
0x010000000000210C,1,23,Sordland/Turn01/EnT_EconomicOverview,Player_Italic,en,私はあくびをした。シモンは不満げに私を見つめた。
0x010000000000210C,1,23,Sordland/Turn01/EnT_EconomicOverview,Player_Italic,Menu Text en,あくびをした
0x0100000000002115,1,24,Sordland/Turn01/EnT_EconomicOverview,Player_Italic,en,リリアスはテーブルに身を寄せて話し始めた。
0x0100000000002115,1,24,Sordland/Turn01/EnT_EconomicOverview,Player_Italic,Menu Text en,待つ
0x0100000000003B3A,1,25,Sordland/Turn01/EnT_EconomicOverview,Gus Manger,en,「バカなことを言うな、リリアス。大ホルソードやゲルスランド地域が直面している失業危機はどうするんだ？あの地域こそが我々の経済の中心地なのだ。」
0x0100000000003B41,1,26,Sordland/Turn01/EnT_EconomicOverview,Lileas Graf,en,「ガス、経済的に進んだ地域の方がアグンランドよりも投資を必要としていると本当に思うのか？」
0x0100000000003B49,1,27,Sordland/Turn01/EnT_EconomicOverview,Symon Holl,en,「おはようございます、大統領。」
0x0100000000003B50,1,28,Sordland/Turn01/EnT_EconomicOverview,Narrator,en,廊下から、リリアス・グラーフの声が聞こえてきた。彼女は激しい口論の際によく見せる、忍耐強くほとんど母親のような口調を使っていた。
0x0100000000003B5A,1,29,Sordland/Turn01/EnT_EconomicOverview,Narrator,en,シモン・ホルは二人の大臣を見ることもせず、素早くその間に割って入った。そして咳払いをした。
0x0100000000003B6B,1,30,Sordland/Turn01/EnT_EconomicOverview,Player,en,「この議論は何についてのものか？」
0x0100000000003B6B,1,30,Sordland/Turn01/EnT_EconomicOverview,Player,Menu Text en,「この論争は何についてのものか？」
0x0100000000003B73,1,31,Sordland/Turn01/EnT_EconomicOverview,Player,en,「皆さん、おはよう。元気か？」
0x0100000000003B73,1,31,Sordland/Turn01/EnT_EconomicOverview,Player,Menu Text en,「皆さん、おはよう。」
