articy_id,conversation_id,entry_id,conversation,actor,field,ja
0x0100005800004429,258,3,Sordland/Epilogue_ElectionDeath,Narrator,en,時間が止まった。あなたは驚きの表情を浮かべて自分を見つめる群衆の姿を目にした。
0x0100005800004430,258,4,Sordland/Epilogue_ElectionDeath,Narrator,en,あなたは誰かが「オル・ダックス・クエルナ！キヴァル・ルンブルギア！」と叫ぶ声を聞いた。
0x0100005800004440,258,11,Sordland/Epilogue_ElectionDeath,Narrator,en,"鈍い痛みがあなたの体を包み込んだ。あなたは力がなく、疲れ果てていた。

あなたは最後に一度だけ目を閉じた。"
0x0100005800004446,258,12,Sordland/Epilogue_ElectionDeath,Narrator,en,あなたは誰かが「自由なブルディアのために！ヨラック・ブルーダラット！」と叫ぶ声を聞いた。
0x010000580000444F,258,13,Sordland/Epilogue_ElectionDeath,Player,en,あなたは下を見た。
0x0100005800004455,258,14,Sordland/Epilogue_ElectionDeath,Player,en,あなたの視界は次第にぼやけていった。
0x010000580000445B,258,15,Sordland/Epilogue_ElectionDeath,Player,en,終わりが訪れたのだった。
0x0100005800004465,258,16,Sordland/Epilogue_ElectionDeath,Player,en,寒さを感じた。
0x0100005800004470,258,17,Sordland/Epilogue_ElectionDeath,Narrator,en,"あなたのシャツには血の染みがついていた。

あなたはバランスを崩して床に倒れた。人々は悲鳴を上げ始めた。"
0x0100005800004477,258,18,Sordland/Epilogue_ElectionDeath,Narrator,en,"あなたのシャツには血の染みがついていた。

あなたはモニカの腕の中に倒れ込んだ。彼女はあなたの血まみれの手を握ったまま悲鳴を上げた。"
0x0100005800004485,258,22,Sordland/Epilogue_ElectionDeath,Narrator,en,あなたは誰かが叫ぶ声を聞いた。
0x0100005800004494,259,3,Sordland/Epilogue_ElectionWin,Narrator,en,選挙日には何百万人もの人々が投票所に足を運び、ソードランドでは有史以来最高の投票率を記録した。
0x010000580000449A,259,4,Sordland/Epilogue_ElectionWin,Player,en,二度目となる、あなたの運命が決まる瞬間がやってきた。
0x01000058000044A1,259,5,Sordland/Epilogue_ElectionWin,Narrator,en,"歴史的な結果として民主党が勝利を収め、あなたの第二期の在任が決まったのだった。

統一ソードランド党が選挙で敗北するのは、それが初めてのことだった。"
0x01000058000044A1,259,5,Sordland/Epilogue_ElectionWin,Narrator,Menu Text en,1957|11月3日
0x01000058000044AE,259,9,Sordland/Epilogue_ElectionWin,Player,en,それはその国にとって歴史的な偉業だった。
0x01000058000044E5,259,34,Sordland/Epilogue_ElectionWin,Narrator,en,"選挙日には、何百万人もの人々がソードランドの法執行機関の厳重な監視のもとで投票所へ向かった。 

投票率は低かったが、あなたの期待値は高かった。"
0x01000058000044ED,259,35,Sordland/Epilogue_ElectionWin,Player,en,彼らの魔法の力は消え去っていた。
0x01000058000044F3,259,36,Sordland/Epilogue_ElectionWin,Narrator,en,"歴史的な結果として、自由党が勝利を収め、あなたの第二期の任期が確定した。

統一ソードランド党が選挙で負けるということは、それまで一度もなかったことだった。"
0x01000058000044F3,259,36,Sordland/Epilogue_ElectionWin,Narrator,Menu Text en,1957|11月3日
0x01000058000044FC,259,37,Sordland/Epilogue_ElectionWin,Narrator,en,"歴史的な結果として、人民党が勝利を収め、あなたが再び大統領の職に就くことになった。

統一ソードランド党が選挙で敗北するのは、それが初めてのことだった。"
0x01000058000044FC,259,37,Sordland/Epilogue_ElectionWin,Narrator,Menu Text en,1957|11月3日
0x0100005800004504,259,38,Sordland/Epilogue_ElectionWin,Player,en,ついに国民が声を上げたのであった。
0x010000580000450A,259,39,Sordland/Epilogue_ElectionWin,Player,en,あなたは彼らを打倒することに成功した。
0x0100005800004511,259,40,Sordland/Epilogue_ElectionWin,Narrator,en,"歴史的な結果として、マルーン党が勝利を収め、あなたが再び大統領の職に就くことになった。

統一ソードランド党が選挙で負けるということは、それまで一度もなかったことだった。"
0x0100005800004511,259,40,Sordland/Epilogue_ElectionWin,Narrator,Menu Text en,1957|11月3日
0x010000580000451A,259,41,Sordland/Epilogue_ElectionWin,Narrator,en,"歴史的な結果として、ソードランド人の繁栄党が勝利を収め、あなたが再び大統領職に就くことになった。

統一ソードランド党が選挙で敗北するのは、それが初めてのことだった。"
0x010000580000451A,259,41,Sordland/Epilogue_ElectionWin,Narrator,Menu Text en,1957|11月3日
